alert_id,stream_ts,txn_id,channel,city,merchant_category,merchant_id,amount_inr,fraud_score,rule_hit,severity,status
ALT0003395,2025-08-13 18:01:05,TXN00007769,UPI,Lucknow,Travel,M1047,1855.83,0.523,new_payee,Low,Blocked
ALT0003397,2025-08-13 18:01:07,TXN00040154,UPI,Lucknow,Electronics,M1775,9171.87,0.625,device,Medium,Blocked
ALT0003400,2025-08-13 18:01:10,TXN00033716,Card,Pune,Education,M1535,13992.73,0.567,night_burst,Medium,Blocked
ALT0003402,2025-08-13 18:01:12,TXN00026156,UPI,Hyderabad,Healthcare,M1346,3688.16,0.553,new_payee,Medium,Blocked
ALT0003403,2025-08-13 18:01:15,TXN00023511,Wallet,Surat,Food Delivery,M1264,1066.01,0.51,velocity,Low,Open
ALT0003407,2025-08-13 18:01:17,TXN00032622,UPI,Chandigarh,Grocery,M1166,7561.63,0.6,velocity,Medium,Blocked
ALT0003410,2025-08-13 18:01:20,TXN00001268,UPI,Jaipur,Fuel,M1626,2567.28,0.605,velocity,Medium,Open
ALT0003414,2025-08-13 18:01:22,TXN00007933,Card,Pune,Grocery,M1647,5470.12,0.838,device,Critical,Blocked
ALT0003418,2025-08-13 18:01:25,TXN00032100,Wallet,Jaipur,Food Delivery,M1778,372.93,0.513,velocity,Low,Open
ALT0003429,2025-08-13 18:01:27,TXN00018441,UPI,Ahmedabad,Fuel,M1758,1868.46,0.593,new_payee,Medium,Cleared
ALT0003433,2025-08-13 18:01:30,TXN00042516,Card,Kochi,Travel,M1188,604.76,0.589,velocity,Medium,Open
ALT0003434,2025-08-13 18:01:32,TXN00027142,Card,Lucknow,Food Delivery,M1070,5390.73,0.551,night_burst,Medium,Investigating
ALT0003452,2025-08-13 18:01:35,TXN00045346,UPI,Delhi,Grocery,M1117,656.65,0.543,velocity,Low,Cleared
ALT0003456,2025-08-13 18:01:37,TXN00041442,Card,Bengaluru,Fuel,M1194,7488.88,0.763,velocity,High,Investigating
ALT0003458,2025-08-13 18:01:40,TXN00046471,Card,Jaipur,Fashion,M1831,2476.26,0.504,night_burst,Low,Blocked
ALT0003465,2025-08-13 18:01:42,TXN00011954,UPI,Lucknow,Fuel,M1081,2123.66,0.491,new_payee,Low,Open
ALT0003469,2025-08-13 18:01:45,TXN00025827,Card,Mumbai,Food Delivery,M1106,74093.59,0.571,night_burst,Medium,Cleared
ALT0003471,2025-08-13 18:01:47,TXN00008439,UPI,Chennai,Grocery,M1716,2290.25,0.576,velocity,Medium,Cleared
ALT0003472,2025-08-13 18:01:50,TXN00010090,UPI,Ahmedabad,Food Delivery,M1081,2070.57,0.486,device,Low,Open
ALT0003476,2025-08-13 18:01:52,TXN00041358,UPI,Surat,Food Delivery,M1836,90575.97,0.613,velocity,Medium,Blocked
ALT0003477,2025-08-13 18:01:55,TXN00032652,Card,Delhi,Fashion,M1352,25515.09,0.542,velocity,Low,Investigating
ALT0003480,2025-08-13 18:01:57,TXN00003431,UPI,Pune,Travel,M1219,451.7,0.551,velocity,Medium,Cleared
ALT0003481,2025-08-13 18:02:00,TXN00043148,Card,Nagpur,Grocery,M1319,7564.21,0.5,device,Low,Blocked
ALT0003495,2025-08-13 18:02:02,TXN00012145,UPI,Jaipur,Utilities,M1472,5023.24,0.684,new_payee,High,Blocked
ALT0003498,2025-08-13 18:02:05,TXN00031046,UPI,Jaipur,Food Delivery,M1535,15948.23,0.525,geo_mismatch,Low,Open
ALT0003501,2025-08-13 18:02:07,TXN00043053,UPI,Mumbai,Fuel,M1245,9458.96,0.553,velocity,Medium,Investigating
ALT0003508,2025-08-13 18:02:10,TXN00029481,UPI,Bengaluru,Grocery,M1879,1350.86,0.613,device,Medium,Blocked
ALT0003510,2025-08-13 18:02:12,TXN00005300,UPI,Jaipur,Travel,M1367,103450.69,0.557,geo_mismatch,Medium,Cleared
ALT0003513,2025-08-13 18:02:15,TXN00032957,Card,Indore,Education,M1485,275958.19,0.532,amount_spike,Low,Blocked
ALT0003523,2025-08-13 18:02:17,TXN00026672,Wallet,Mumbai,Fashion,M1484,4660.94,0.515,new_payee,Low,Cleared
ALT0003524,2025-08-13 18:02:20,TXN00034372,Card,Bengaluru,Electronics,M1317,20425.67,0.496,amount_spike,Low,Open
ALT0003531,2025-08-13 18:02:22,TXN00038119,UPI,Kolkata,Gaming,M1018,2117.52,0.526,night_burst,Low,Investigating
ALT0003538,2025-08-13 18:02:25,TXN00022942,Card,Chennai,Fashion,M1816,18601.09,0.586,velocity,Medium,Investigating
ALT0003543,2025-08-13 18:02:27,TXN00004054,Card,Chennai,Fuel,M1689,49371.99,0.532,night_burst,Low,Cleared
ALT0003545,2025-08-13 18:02:30,TXN00001034,UPI,Nagpur,Food Delivery,M1704,9364.74,0.506,velocity,Low,Open
ALT0003555,2025-08-13 18:02:32,TXN00006002,Wallet,Bengaluru,Food Delivery,M1110,432.87,0.814,velocity,High,Escalated
ALT0003556,2025-08-13 18:02:35,TXN00023566,UPI,Nagpur,Grocery,M1746,1856.01,0.582,new_payee,Medium,Investigating
ALT0003558,2025-08-13 18:02:37,TXN00033892,Card,Chennai,Food Delivery,M1844,4243.91,0.482,velocity,Low,Investigating
ALT0003561,2025-08-13 18:02:40,TXN00007142,Card,Pune,Grocery,M1686,6924.0,0.574,night_burst,Medium,Investigating
ALT0003562,2025-08-13 18:02:42,TXN00026877,UPI,Lucknow,Fashion,M1306,13206.56,0.719,night_burst,High,Blocked
ALT0003570,2025-08-13 18:02:45,TXN00044313,Wallet,Chennai,Travel,M1529,3535.99,0.599,geo_mismatch,Medium,Cleared
ALT0003577,2025-08-13 18:02:47,TXN00043729,Card,Kolkata,Utilities,M1637,15662.1,0.495,velocity,Low,Cleared
ALT0003578,2025-08-13 18:02:50,TXN00013203,Card,Hyderabad,Food Delivery,M1679,21193.41,0.496,night_burst,Low,Blocked
ALT0003580,2025-08-13 18:02:52,TXN00039636,Card,Chandigarh,Grocery,M1199,9098.49,0.68,velocity,Medium,Blocked
ALT0003581,2025-08-13 18:02:55,TXN00006743,Card,Jaipur,Gaming,M1102,10728.09,0.527,velocity,Low,Cleared
ALT0003591,2025-08-13 18:02:57,TXN00012937,UPI,Pune,Fashion,M1755,19600.84,0.83,device,Critical,Blocked
ALT0003596,2025-08-13 18:03:00,TXN00027827,UPI,Chandigarh,Healthcare,M1301,27840.17,0.564,night_burst,Medium,Escalated
ALT0003598,2025-08-13 18:03:02,TXN00003987,Card,Hyderabad,Food Delivery,M1505,31601.17,0.78,amount_spike,High,Blocked
ALT0003602,2025-08-13 18:03:05,TXN00029914,Wallet,Ahmedabad,Grocery,M1169,630.98,0.605,velocity,Medium,Cleared
ALT0003611,2025-08-13 18:03:07,TXN00042265,Card,Bengaluru,Travel,M1642,150658.1,0.542,night_burst,Low,Investigating
ALT0003616,2025-08-13 18:03:10,TXN00024979,UPI,Kolkata,Travel,M1555,704.65,0.509,velocity,Low,Cleared
ALT0003620,2025-08-13 18:03:12,TXN00007862,UPI,Jaipur,Gaming,M1445,3252.68,0.565,geo_mismatch,Medium,Open
ALT0003633,2025-08-13 18:03:15,TXN00031583,Card,Kochi,Healthcare,M1365,453.39,0.589,velocity,Medium,Blocked
ALT0003641,2025-08-13 18:03:17,TXN00041088,UPI,Hyderabad,Electronics,M1388,20966.88,0.529,geo_mismatch,Low,Open
ALT0003642,2025-08-13 18:03:20,TXN00043027,UPI,Kochi,Healthcare,M1166,6752.05,0.58,velocity,Medium,Investigating
ALT0003647,2025-08-13 18:03:22,TXN00017760,Card,Pune,Food Delivery,M1597,16611.22,0.589,geo_mismatch,Medium,Investigating
ALT0003651,2025-08-13 18:03:25,TXN00020695,Card,Nagpur,Food Delivery,M1432,30667.77,0.712,velocity,High,Blocked
ALT0003657,2025-08-13 18:03:27,TXN00019917,Wallet,Lucknow,Grocery,M1740,16897.05,0.586,velocity,Medium,Investigating
ALT0003658,2025-08-13 18:03:30,TXN00014130,Card,Jaipur,Grocery,M1240,22645.58,0.516,amount_spike,Low,Open
ALT0003662,2025-08-13 18:03:32,TXN00004542,Card,Bengaluru,Electronics,M1001,41185.72,0.531,night_burst,Low,Cleared
ALT0003667,2025-08-13 18:03:35,TXN00027615,UPI,Ahmedabad,Food Delivery,M1415,4848.13,0.528,velocity,Low,Investigating
ALT0003674,2025-08-13 18:03:37,TXN00015767,Card,Chennai,Fuel,M1459,4249.82,0.669,new_payee,Medium,Investigating
ALT0003677,2025-08-13 18:03:40,TXN00010223,UPI,Kolkata,Fashion,M1536,320.18,0.578,night_burst,Medium,Investigating
ALT0003685,2025-08-13 18:03:42,TXN00015296,Card,Kolkata,Food Delivery,M1819,6834.33,0.717,new_payee,High,Cleared
ALT0003699,2025-08-13 18:03:45,TXN00032708,Card,Jaipur,Gaming,M1144,11440.04,0.496,velocity,Low,Cleared
ALT0003704,2025-08-13 18:03:47,TXN00013775,UPI,Nagpur,Electronics,M1272,1966.34,0.601,night_burst,Medium,Escalated
ALT0003705,2025-08-13 18:03:50,TXN00026518,Wallet,Nagpur,Education,M1382,3855.2,0.614,device,Medium,Cleared
ALT0003707,2025-08-13 18:03:52,TXN00039136,Card,Chandigarh,Food Delivery,M1507,16011.87,0.618,velocity,Medium,Investigating
ALT0003708,2025-08-13 18:03:55,TXN00022829,Wallet,Kolkata,Education,M1667,4369.53,0.791,velocity,High,Open
ALT0003710,2025-08-13 18:03:57,TXN00036252,Wallet,Surat,Gaming,M1553,250.13,0.534,velocity,Low,Investigating
ALT0003712,2025-08-13 18:04:00,TXN00047173,UPI,Lucknow,Grocery,M1235,58177.53,0.807,amount_spike,High,Blocked
ALT0003720,2025-08-13 18:04:02,TXN00034505,Card,Indore,Gaming,M1050,3026.62,0.547,night_burst,Low,Blocked
ALT0003721,2025-08-13 18:04:05,TXN00006900,UPI,Lucknow,Utilities,M1189,699.68,0.524,new_payee,Low,Investigating
ALT0003730,2025-08-13 18:04:07,TXN00000270,UPI,Mumbai,Fashion,M1624,3594.52,0.639,geo_mismatch,Medium,Investigating
ALT0003731,2025-08-13 18:04:10,TXN00003029,Wallet,Jaipur,Healthcare,M1703,750.32,0.571,velocity,Medium,Blocked
ALT0003732,2025-08-13 18:04:12,TXN00030924,UPI,Kochi,Grocery,M1682,1577.46,0.481,velocity,Low,Open
ALT0003733,2025-08-13 18:04:15,TXN00036973,UPI,Kochi,Electronics,M1612,1640.47,0.55,night_burst,Low,Blocked
ALT0003741,2025-08-13 18:04:17,TXN00035950,UPI,Pune,Gaming,M1138,785.86,0.587,new_payee,Medium,Cleared
ALT0003743,2025-08-13 18:04:20,TXN00039248,Card,Nagpur,Education,M1558,25062.19,0.558,velocity,Medium,Blocked
ALT0003745,2025-08-13 18:04:22,TXN00032360,UPI,Delhi,Food Delivery,M1080,11896.61,0.488,device,Low,Cleared
ALT0003756,2025-08-13 18:04:25,TXN00016396,Card,Ahmedabad,Travel,M1852,69081.73,0.541,amount_spike,Low,Open
ALT0003765,2025-08-13 18:04:27,TXN00005590,UPI,Lucknow,Food Delivery,M1227,536.79,0.564,new_payee,Medium,Blocked
ALT0003767,2025-08-13 18:04:30,TXN00047348,UPI,Indore,Healthcare,M1341,96.52,0.57,velocity,Medium,Cleared
ALT0003776,2025-08-13 18:04:32,TXN00025049,Wallet,Delhi,Travel,M1123,1224.44,0.519,velocity,Low,Blocked
ALT0003785,2025-08-13 18:04:35,TXN00010823,Card,Kolkata,Fuel,M1131,24999.64,0.608,night_burst,Medium,Blocked
ALT0003786,2025-08-13 18:04:37,TXN00024286,UPI,Jaipur,Gaming,M1671,9682.46,0.895,geo_mismatch,Critical,Blocked
ALT0003796,2025-08-13 18:04:40,TXN00043517,Wallet,Chandigarh,Electronics,M1216,1004.57,0.764,night_burst,High,Open
ALT0003797,2025-08-13 18:04:42,TXN00040305,UPI,Lucknow,Fuel,M1312,318.41,0.518,velocity,Low,Cleared
ALT0003800,2025-08-13 18:04:45,TXN00038193,UPI,Ahmedabad,Grocery,M1075,8166.62,0.592,velocity,Medium,Open
ALT0003802,2025-08-13 18:04:47,TXN00041639,UPI,Nagpur,Electronics,M1480,630.13,0.546,night_burst,Low,Cleared
ALT0003803,2025-08-13 18:04:50,TXN00045539,UPI,Indore,Gaming,M1408,2682.1,0.574,velocity,Medium,Investigating
ALT0003808,2025-08-13 18:04:52,TXN00027131,Card,Chandigarh,Fashion,M1089,1513.93,0.512,velocity,Low,Cleared
ALT0003809,2025-08-13 18:04:55,TXN00004940,UPI,Kolkata,Grocery,M1255,4963.05,0.51,new_payee,Low,Investigating
ALT0003814,2025-08-13 18:04:57,TXN00000086,UPI,Indore,Food Delivery,M1229,537.89,0.538,night_burst,Low,Cleared
ALT0003815,2025-08-13 18:05:00,TXN00006475,UPI,Chandigarh,Fashion,M1462,721.32,0.552,velocity,Medium,Cleared
ALT0003816,2025-08-13 18:05:02,TXN00040750,Wallet,Jaipur,Food Delivery,M1207,909.17,0.518,new_payee,Low,Investigating
ALT0003822,2025-08-13 18:05:05,TXN00021947,Card,Hyderabad,Fuel,M1009,27912.74,0.576,night_burst,Medium,Blocked
ALT0003823,2025-08-13 18:05:07,TXN00038731,UPI,Ahmedabad,Grocery,M1056,4878.57,0.68,velocity,Medium,Cleared
ALT0003825,2025-08-13 18:05:10,TXN00017394,Wallet,Surat,Fashion,M1258,1700.39,0.492,velocity,Low,Open
ALT0003830,2025-08-13 18:05:12,TXN00015797,UPI,Chandigarh,Grocery,M1557,14610.02,0.71,night_burst,High,Investigating
ALT0003831,2025-08-13 18:05:15,TXN00046327,Card,Chandigarh,Education,M1734,1492.56,0.51,velocity,Low,Cleared
ALT0003832,2025-08-13 18:05:17,TXN00026618,UPI,Hyderabad,Grocery,M1113,11047.09,0.578,velocity,Medium,Investigating
ALT0003836,2025-08-13 18:05:20,TXN00000297,Card,Nagpur,Food Delivery,M1248,4466.99,0.781,velocity,High,Investigating
ALT0003853,2025-08-13 18:05:22,TXN00029298,UPI,Nagpur,Food Delivery,M1062,1241.04,0.493,velocity,Low,Cleared
ALT0003863,2025-08-13 18:05:25,TXN00010004,UPI,Delhi,Food Delivery,M1413,16215.92,0.643,amount_spike,Medium,Investigating
ALT0003864,2025-08-13 18:05:27,TXN00019792,Card,Surat,Food Delivery,M1365,48564.57,0.634,velocity,Medium,Cleared
ALT0003869,2025-08-13 18:05:30,TXN00004770,UPI,Chennai,Fashion,M1743,8892.53,0.655,device,Medium,Investigating
ALT0003872,2025-08-13 18:05:32,TXN00046715,Card,Ahmedabad,Fashion,M1888,9974.73,0.693,geo_mismatch,High,Cleared
ALT0003874,2025-08-13 18:05:35,TXN00006582,UPI,Mumbai,Utilities,M1860,6245.78,0.523,velocity,Low,Cleared
ALT0003876,2025-08-13 18:05:37,TXN00000182,UPI,Chandigarh,Electronics,M1827,64614.52,0.537,velocity,Low,Cleared
ALT0003885,2025-08-13 18:05:40,TXN00021294,Card,Chandigarh,Gaming,M1811,10786.84,0.576,night_burst,Medium,Open
ALT0003886,2025-08-13 18:05:42,TXN00006051,Card,Chandigarh,Grocery,M1498,1441.28,0.561,night_burst,Medium,Open
ALT0003897,2025-08-13 18:05:45,TXN00013022,UPI,Kolkata,Grocery,M1007,542.96,0.591,new_payee,Medium,Cleared
ALT0003898,2025-08-13 18:05:47,TXN00005507,Card,Kochi,Gaming,M1456,5661.72,0.585,night_burst,Medium,Investigating
ALT0003899,2025-08-13 18:05:50,TXN00036932,UPI,Chennai,Utilities,M1341,738.43,0.615,velocity,Medium,Escalated
ALT0003901,2025-08-13 18:05:52,TXN00007590,Wallet,Bengaluru,Electronics,M1704,5267.23,0.579,velocity,Medium,Escalated
ALT0003917,2025-08-13 18:05:55,TXN00019509,Card,Pune,Electronics,M1166,5401.81,0.562,velocity,Medium,Investigating
ALT0003918,2025-08-13 18:05:57,TXN00010207,UPI,Chennai,Utilities,M1099,1472.71,0.576,night_burst,Medium,Cleared
ALT0003921,2025-08-13 18:06:00,TXN00041814,UPI,Delhi,Grocery,M1722,7294.97,0.578,velocity,Medium,Open
ALT0003925,2025-08-13 18:06:02,TXN00045546,Card,Lucknow,Education,M1775,4273.45,0.697,velocity,High,Blocked
ALT0003932,2025-08-13 18:06:05,TXN00003886,UPI,Kolkata,Food Delivery,M1524,2624.44,0.512,velocity,Low,Open
ALT0003933,2025-08-13 18:06:07,TXN00019586,Wallet,Mumbai,Electronics,M1070,1506.98,0.574,night_burst,Medium,Cleared
ALT0003938,2025-08-13 18:06:10,TXN00016622,Card,Chandigarh,Healthcare,M1619,10900.12,0.597,geo_mismatch,Medium,Investigating
ALT0003940,2025-08-13 18:06:12,TXN00030829,UPI,Delhi,Electronics,M1027,4489.76,0.609,velocity,Medium,Cleared
ALT0003963,2025-08-13 18:06:15,TXN00044284,UPI,Chennai,Grocery,M1271,353.22,0.607,night_burst,Medium,Blocked
ALT0003966,2025-08-13 18:06:17,TXN00012360,Card,Kochi,Food Delivery,M1282,31345.17,0.641,geo_mismatch,Medium,Open
ALT0003974,2025-08-13 18:06:20,TXN00038885,UPI,Hyderabad,Healthcare,M1056,7173.58,0.652,night_burst,Medium,Investigating
ALT0003977,2025-08-13 18:06:22,TXN00026369,UPI,Kochi,Travel,M1312,21171.99,0.589,velocity,Medium,Blocked
ALT0003979,2025-08-13 18:06:25,TXN00038127,UPI,Mumbai,Fuel,M1822,4157.27,0.569,velocity,Medium,Blocked
ALT0003980,2025-08-13 18:06:27,TXN00002348,UPI,Ahmedabad,Fashion,M1864,1339.72,0.493,velocity,Low,Cleared
ALT0003982,2025-08-13 18:06:30,TXN00014975,UPI,Surat,Fashion,M1804,3923.0,0.565,geo_mismatch,Medium,Blocked
ALT0003988,2025-08-13 18:06:32,TXN00024232,UPI,Nagpur,Grocery,M1199,2196.99,0.642,velocity,Medium,Cleared
ALT0003992,2025-08-13 18:06:35,TXN00040288,UPI,Kolkata,Food Delivery,M1279,34494.29,0.624,amount_spike,Medium,Investigating
ALT0003997,2025-08-13 18:06:37,TXN00023520,Card,Jaipur,Electronics,M1229,2287.11,0.645,device,Medium,Cleared
ALT0003998,2025-08-13 18:06:40,TXN00005382,UPI,Kolkata,Grocery,M1539,1453.81,0.642,device,Medium,Open
ALT0004010,2025-08-13 18:06:42,TXN00021652,Card,Indore,Healthcare,M1678,33514.98,0.62,velocity,Medium,Blocked
ALT0004019,2025-08-13 18:06:45,TXN00010340,Card,Kolkata,Fashion,M1451,31901.82,0.598,amount_spike,Medium,Blocked
ALT0004027,2025-08-13 18:06:47,TXN00038075,UPI,Jaipur,Electronics,M1203,3804.91,0.534,velocity,Low,Cleared
ALT0004049,2025-08-13 18:06:50,TXN00033070,Card,Pune,Grocery,M1371,2503.78,0.586,velocity,Medium,Blocked
ALT0004050,2025-08-13 18:06:52,TXN00028786,UPI,Chennai,Electronics,M1117,2224.93,0.603,velocity,Medium,Blocked
ALT0004051,2025-08-13 18:06:55,TXN00012561,Card,Nagpur,Fashion,M1423,18058.94,0.602,velocity,Medium,Escalated
ALT0004058,2025-08-13 18:06:57,TXN00043208,UPI,Delhi,Fashion,M1293,4003.98,0.815,velocity,High,Escalated
ALT0004061,2025-08-13 18:07:00,TXN00002768,Card,Delhi,Food Delivery,M1448,5157.98,0.546,velocity,Low,Open
ALT0004069,2025-08-13 18:07:02,TXN00034162,UPI,Delhi,Healthcare,M1049,5421.14,0.612,night_burst,Medium,Open
ALT0004079,2025-08-13 18:07:05,TXN00039616,Wallet,Pune,Gaming,M1623,12000.53,0.488,night_burst,Low,Cleared
ALT0004081,2025-08-13 18:07:07,TXN00025237,Card,Chandigarh,Travel,M1476,204506.64,0.764,amount_spike,High,Escalated
ALT0004096,2025-08-13 18:07:10,TXN00038998,Wallet,Surat,Fashion,M1713,3827.39,0.592,night_burst,Medium,Open
ALT0004100,2025-08-13 18:07:12,TXN00001036,UPI,Bengaluru,Gaming,M1778,8718.18,0.66,new_payee,Medium,Blocked
ALT0004101,2025-08-13 18:07:15,TXN00036319,UPI,Bengaluru,Travel,M1652,1957.99,0.67,velocity,Medium,Cleared
ALT0004103,2025-08-13 18:07:17,TXN00046660,UPI,Mumbai,Fuel,M1224,5404.77,0.58,velocity,Medium,Investigating
ALT0004104,2025-08-13 18:07:20,TXN00007191,Card,Bengaluru,Fuel,M1896,5619.6,0.82,new_payee,High,Blocked
ALT0004109,2025-08-13 18:07:22,TXN00035601,UPI,Indore,Fashion,M1554,2802.66,0.49,night_burst,Low,Open
ALT0004110,2025-08-13 18:07:25,TXN00039519,Card,Ahmedabad,Fuel,M1326,19504.76,0.513,amount_spike,Low,Cleared
ALT0004112,2025-08-13 18:07:27,TXN00015876,Card,Indore,Grocery,M1640,73033.11,0.509,amount_spike,Low,Investigating
ALT0004113,2025-08-13 18:07:30,TXN00038141,Card,Hyderabad,Electronics,M1568,24287.42,0.539,velocity,Low,Cleared
ALT0004114,2025-08-13 18:07:32,TXN00040003,Card,Indore,Electronics,M1081,1419.48,0.549,velocity,Low,Cleared
ALT0004117,2025-08-13 18:07:35,TXN00003340,Card,Nagpur,Utilities,M1386,2114.81,0.627,velocity,Medium,Cleared
ALT0004118,2025-08-13 18:07:37,TXN00007526,UPI,Nagpur,Electronics,M1274,22335.5,0.603,new_payee,Medium,Open
ALT0004125,2025-08-13 18:07:40,TXN00004955,UPI,Delhi,Travel,M1032,689.71,0.57,velocity,Medium,Investigating
ALT0004135,2025-08-13 18:07:42,TXN00012297,UPI,Indore,Grocery,M1440,590.19,0.549,velocity,Low,Cleared
ALT0004136,2025-08-13 18:07:45,TXN00030074,Card,Mumbai,Fuel,M1725,278281.32,0.495,new_payee,Low,Investigating
ALT0004144,2025-08-13 18:07:47,TXN00023692,UPI,Surat,Food Delivery,M1059,1675.55,0.625,velocity,Medium,Blocked
ALT0004145,2025-08-13 18:07:50,TXN00047710,UPI,Surat,Gaming,M1059,2695.4,0.481,device,Low,Open
ALT0004152,2025-08-13 18:07:52,TXN00013508,Wallet,Kochi,Fuel,M1230,2916.32,0.589,new_payee,Medium,Cleared
ALT0004154,2025-08-13 18:07:55,TXN00025896,UPI,Jaipur,Fashion,M1520,11561.82,0.54,velocity,Low,Investigating
ALT0004155,2025-08-13 18:07:57,TXN00003787,Card,Nagpur,Gaming,M1082,2557.34,0.509,new_payee,Low,Open
ALT0004175,2025-08-13 18:08:00,TXN00027084,UPI,Surat,Fuel,M1702,8414.33,0.587,velocity,Medium,Cleared
ALT0004179,2025-08-13 18:08:02,TXN00046244,UPI,Ahmedabad,Education,M1005,63450.69,0.491,new_payee,Low,Blocked
ALT0004183,2025-08-13 18:08:05,TXN00047266,Card,Pune,Electronics,M1130,7573.65,0.566,velocity,Medium,Cleared
ALT0004186,2025-08-13 18:08:07,TXN00026641,UPI,Mumbai,Healthcare,M1596,8174.01,0.547,night_burst,Low,Blocked
ALT0004187,2025-08-13 18:08:10,TXN00001090,Card,Indore,Travel,M1502,1441.45,0.618,night_burst,Medium,Cleared
ALT0004193,2025-08-13 18:08:12,TXN00041655,Card,Bengaluru,Food Delivery,M1044,81575.81,0.553,new_payee,Medium,Cleared
ALT0004196,2025-08-13 18:08:15,TXN00008375,Card,Bengaluru,Fashion,M1707,6265.03,0.746,device,High,Escalated
ALT0004200,2025-08-13 18:08:17,TXN00006375,UPI,Mumbai,Education,M1237,3239.42,0.609,velocity,Medium,Investigating
