txn_id,txn_ts,channel,city,merchant_category,merchant_id,customer_id,amount_inr,log_amount,hour,is_weekend,is_night,is_new_device,is_geo_shift,txn_count_1h,cust_txn_n,merchant_fraud_rate,fraud_score,eng_fraud_score,is_fraud_label
TXN00045951,2025-07-15 00:11:15,Wallet,Pune,Education,M1535,C30912,6394.93,8.763417129553742,0,0,1,0,0,8,3,0.031746031746031744,0.387,0.411,0
TXN00039029,2025-07-15 00:12:50,UPI,Hyderabad,Utilities,M1419,C37688,2936.98,7.985477549358713,0,0,1,0,0,13,1,0.07142857142857142,0.458,0.399,0
TXN00041760,2025-07-15 00:12:53,Card,Nagpur,Travel,M1490,C35984,1981.94,7.5923358708759565,0,0,1,0,0,12,2,0.037037037037037035,0.405,0.384,0
TXN00036232,2025-07-15 00:13:26,UPI,Bengaluru,Travel,M1003,C55447,4584.48,8.430650068414959,0,0,1,0,0,7,3,0.07272727272727272,0.433,0.415,0
TXN00025566,2025-07-15 00:14:15,UPI,Jaipur,Education,M1898,C56616,916.62,6.82178336156717,0,0,1,0,0,10,2,0.0,0.557,0.37,0
TXN00016206,2025-07-15 00:14:28,UPI,Pune,Grocery,M1098,C31634,906.43,6.810616428177724,0,0,1,0,0,13,2,0.018518518518518517,0.419,0.377,0
TXN00018212,2025-07-15 00:16:01,Card,Kochi,Healthcare,M1170,C19124,4688.0,8.452974619089586,0,0,1,0,1,8,1,0.03125,0.7,0.58,0
TXN00020541,2025-07-15 00:17:23,Card,Ahmedabad,Fuel,M1881,C29207,4579.93,8.429657313263554,0,0,1,0,0,5,1,0.031746031746031744,0.459,0.249,0
TXN00014560,2025-07-15 00:17:49,UPI,Chennai,Electronics,M1067,C65781,8796.59,9.08223309932244,0,0,1,0,0,12,1,0.0,0.492,0.41,0
TXN00018696,2025-07-15 00:18:05,UPI,Kolkata,Food Delivery,M1264,C74505,2841.31,7.952372380822466,0,0,1,0,0,8,1,0.02040816326530612,0.568,0.378,0
TXN00022648,2025-07-15 00:18:14,UPI,Ahmedabad,Fashion,M1429,C66749,13659.18,9.522240310197553,0,0,1,0,0,10,1,0.018518518518518517,0.515,0.432,0
TXN00032533,2025-07-15 00:19:06,UPI,Nagpur,Food Delivery,M1861,C10488,687.46,6.534457219167996,0,0,1,0,0,13,3,0.014285714285714285,0.506,0.376,0
TXN00006829,2025-07-15 00:20:00,UPI,Chandigarh,Fuel,M1461,C71107,8311.64,9.025532526927545,0,0,1,0,0,1,2,0.020833333333333332,0.317,0.266,0
TXN00009343,2025-07-15 00:20:41,Card,Mumbai,Travel,M1639,C38035,7817.85,8.964292763901618,0,0,1,0,0,3,1,0.03389830508474576,0.416,0.269,0
TXN00021406,2025-07-15 00:21:11,UPI,Chennai,Food Delivery,M1394,C18100,2954.08,7.9912810022317755,0,0,1,0,0,10,2,0.0,0.496,0.371,0
TXN00020030,2025-07-15 00:22:34,UPI,Kochi,Gaming,M1837,C37908,1753.05,7.469682678797212,0,0,1,0,0,9,1,0.017543859649122806,0.388,0.377,0
TXN00006861,2025-07-15 00:22:48,Card,Jaipur,Education,M1431,C74160,1672.12,7.422445425850278,0,0,1,0,0,10,2,0.0,0.514,0.37,0
TXN00031155,2025-07-15 00:22:50,UPI,Mumbai,Food Delivery,M1457,C26441,762.82,6.638332159313746,0,0,1,0,0,1,2,0.0,0.377,0.22,0
TXN00034081,2025-07-15 00:23:18,UPI,Surat,Utilities,M1177,C87937,4634.84,8.441572691353286,0,0,1,0,0,7,1,0.0,0.45,0.387,0
TXN00024934,2025-07-15 00:24:29,UPI,Jaipur,Food Delivery,M1045,C79796,2413.21,7.789127390417341,0,0,1,0,1,13,3,0.018518518518518517,0.6,0.557,0
TXN00008943,2025-07-15 00:27:26,Wallet,Delhi,Food Delivery,M1674,C71598,1449.45,7.279629132095211,0,0,1,0,0,1,1,0.022222222222222223,0.417,0.229,0
TXN00005762,2025-07-15 00:27:52,UPI,Jaipur,Education,M1377,C40236,751.3,6.623135180566176,0,0,1,0,0,9,1,0.038461538461538464,0.457,0.385,0
TXN00034037,2025-07-15 00:29:27,UPI,Chandigarh,Food Delivery,M1554,C50629,638.28,6.460342543066207,0,0,1,0,0,8,1,0.045454545454545456,0.482,0.388,0
TXN00019612,2025-07-15 00:29:52,UPI,Chandigarh,Utilities,M1418,C47872,1487.91,7.305799587606739,0,0,1,0,0,13,2,0.044444444444444446,0.577,0.387,1
TXN00035524,2025-07-15 00:31:02,UPI,Bengaluru,Grocery,M1864,C61915,1935.21,7.568487733028341,0,0,1,0,0,10,1,0.0,0.567,0.37,0
TXN00015603,2025-07-15 00:31:26,Wallet,Chandigarh,Grocery,M1533,C20866,188.2,5.2428046566177775,0,0,1,0,0,11,2,0.020833333333333332,0.412,0.378,0
TXN00033540,2025-07-15 00:31:27,UPI,Pune,Gaming,M1220,C57636,1599.1,7.377821406274829,0,0,1,0,0,1,2,0.045454545454545456,0.279,0.238,0
TXN00041712,2025-07-15 00:31:30,UPI,Kochi,Grocery,M1443,C13737,3316.96,8.107105415222629,0,0,1,0,0,12,2,0.02127659574468085,0.423,0.383,0
TXN00031485,2025-07-15 00:31:50,UPI,Mumbai,Travel,M1189,C48917,7477.04,8.919726004546556,0,0,1,0,0,11,1,0.06666666666666667,0.48,0.43,0
TXN00001867,2025-07-15 00:32:38,Card,Hyderabad,Travel,M1731,C87819,22857.58,10.0370818181841,0,0,1,0,0,4,2,0.022222222222222223,0.45,0.302,0
TXN00000390,2025-07-15 00:35:38,Card,Kolkata,Utilities,M1799,C87174,2821.79,7.945481036538567,0,0,1,0,0,10,1,0.0,0.57,0.37,0
TXN00039378,2025-07-15 00:36:48,UPI,Ahmedabad,Fuel,M1664,C51258,3251.79,8.087268368594886,0,0,1,0,0,2,1,0.0,0.191,0.224,0
TXN00047208,2025-07-15 00:37:12,UPI,Mumbai,Utilities,M1592,C64808,1805.12,7.498936176952271,0,0,1,0,1,1,1,0.030303030303030304,0.54,0.412,0
TXN00036421,2025-07-15 00:37:17,UPI,Mumbai,Education,M1693,C45022,939.56,6.846475442559486,0,0,1,0,0,6,2,0.05660377358490566,0.443,0.392,0
TXN00017899,2025-07-15 00:37:27,UPI,Chandigarh,Grocery,M1083,C84428,9327.18,9.14079520514509,0,0,1,0,0,6,2,0.0,0.59,0.412,0
TXN00007648,2025-07-15 00:37:53,UPI,Jaipur,Food Delivery,M1684,C62736,1296.4,7.1681175407789555,0,0,1,0,0,13,1,0.0425531914893617,0.394,0.387,0
TXN00021086,2025-07-15 00:38:28,UPI,Bengaluru,Utilities,M1411,C65158,666.65,6.503764084129973,0,0,1,0,0,3,1,0.0,0.457,0.22,0
TXN00029255,2025-07-15 00:39:12,Card,Bengaluru,Grocery,M1295,C34615,9061.21,9.111868298650919,0,0,1,0,1,2,2,0.01818181818181818,0.414,0.448,0
TXN00018222,2025-07-15 00:39:59,UPI,Kochi,Gaming,M1866,C64706,4092.92,8.31725822523891,0,0,1,0,0,12,2,0.0,0.353,0.383,0
TXN00039375,2025-07-15 00:44:00,Card,Pune,Fashion,M1213,C82724,5844.37,8.673405173870178,0,0,1,0,0,3,2,0.03636363636363636,0.442,0.259,0
TXN00029248,2025-07-15 00:46:03,UPI,Nagpur,Food Delivery,M1567,C65532,7878.52,8.972022267291026,0,0,1,0,0,12,2,0.01818181818181818,0.379,0.413,0
TXN00016164,2025-07-15 00:46:04,Card,Hyderabad,Healthcare,M1587,C85567,5096.77,8.536558468186657,0,0,1,0,0,1,2,0.0,0.181,0.24,0
TXN00046223,2025-07-15 00:46:19,Card,Delhi,Grocery,M1084,C13958,12827.01,9.459386340357488,0,0,1,0,0,2,2,0.017543859649122806,0.4,0.28,0
TXN00046263,2025-07-15 00:46:20,UPI,Chennai,Fashion,M1473,C17056,2634.96,7.877002721000435,0,0,1,0,0,10,2,0.020833333333333332,0.615,0.378,0
TXN00043317,2025-07-15 00:48:52,UPI,Chandigarh,Food Delivery,M1193,C53771,47829.12,10.775410845556832,0,0,1,0,0,2,1,0.023255813953488372,0.463,0.329,0
TXN00015237,2025-07-15 00:49:39,Wallet,Kochi,Gaming,M1529,C77090,1942.43,7.572209732149421,0,0,1,0,0,8,3,0.0,0.395,0.37,0
TXN00016613,2025-07-15 00:51:43,UPI,Delhi,Gaming,M1707,C63084,2276.51,7.730838019903837,0,0,1,0,0,11,1,0.1016949152542373,0.515,0.41,0
TXN00043256,2025-07-15 00:53:52,UPI,Indore,Grocery,M1513,C80094,4682.04,8.451702750680269,0,0,1,0,0,9,2,0.03636363636363636,0.604,0.402,1
TXN00004677,2025-07-15 00:54:05,Card,Chandigarh,Food Delivery,M1074,C39022,10409.63,9.250582678509819,0,0,1,0,0,6,2,0.043478260869565216,0.511,0.433,0
TXN00015483,2025-07-15 00:54:32,UPI,Jaipur,Fashion,M1523,C76757,3149.58,8.055341841854514,0,0,1,0,0,9,2,0.031746031746031744,0.352,0.386,0
TXN00047642,2025-07-15 00:55:25,Wallet,Kochi,Electronics,M1485,C59425,869.92,6.769550124184118,0,0,1,0,0,2,1,0.03508771929824561,0.436,0.234,0
TXN00021431,2025-07-15 00:55:25,Card,Nagpur,Utilities,M1402,C89466,12645.35,9.445123914971292,0,0,1,1,0,13,3,0.0,0.762,0.622,0
TXN00024434,2025-07-15 00:55:36,Card,Kolkata,Fashion,M1348,C77919,12136.55,9.404059232055564,0,0,1,0,1,7,2,0.05970149253731343,0.813,0.624,0
TXN00018746,2025-07-15 00:58:11,Card,Hyderabad,Fuel,M1405,C82280,9222.71,9.129532621732194,0,0,1,0,0,5,1,0.02040816326530612,0.362,0.269,0
TXN00018440,2025-07-15 00:59:01,UPI,Ahmedabad,Food Delivery,M1717,C27753,13652.39,9.521743121427292,0,0,1,1,0,9,2,0.018518518518518517,0.644,0.632,0
TXN00025690,2025-07-15 00:59:36,Wallet,Nagpur,Travel,M1505,C21522,1402.41,7.246660268345032,0,0,1,0,0,5,1,0.05263157894736842,0.294,0.241,0
TXN00022114,2025-07-15 01:01:45,Card,Surat,Grocery,M1320,C48241,10670.67,9.27534784563833,1,0,1,0,0,4,1,0.02,0.318,0.274,0
TXN00014233,2025-07-15 01:02:43,Card,Chennai,Food Delivery,M1054,C68893,13021.8,9.474456946405255,1,0,1,0,0,3,2,0.0,0.199,0.274,0
TXN00017804,2025-07-15 01:02:51,Card,Jaipur,Food Delivery,M1428,C28617,2589.6,7.859644788096156,1,0,1,0,1,9,2,0.041666666666666664,0.625,0.566,1
TXN00028976,2025-07-15 01:03:02,UPI,Bengaluru,Travel,M1322,C54828,15950.49,9.6773075207778,1,0,1,0,0,10,1,0.018518518518518517,0.391,0.438,0
TXN00012403,2025-07-15 01:04:53,Wallet,Nagpur,Healthcare,M1644,C89294,1835.34,7.515529739220961,1,0,1,1,0,5,1,0.028985507246376812,0.558,0.431,0
TXN00009832,2025-07-15 01:05:34,UPI,Surat,Education,M1564,C22192,2180.51,7.687772576554991,1,0,1,0,0,4,2,0.015151515151515152,0.208,0.226,0
TXN00005430,2025-07-15 01:05:36,UPI,Chandigarh,Food Delivery,M1222,C14294,549.21,6.310300023534322,1,0,1,0,0,10,1,0.0,0.508,0.37,0
TXN00013177,2025-07-15 01:06:14,UPI,Bengaluru,Gaming,M1283,C34147,423.1,6.049969276480545,1,0,1,0,0,4,2,0.03636363636363636,0.206,0.234,0
TXN00040791,2025-07-15 01:06:15,UPI,Bengaluru,Fashion,M1850,C13237,2169.12,7.682537744544713,1,0,1,0,0,2,1,0.034482758620689655,0.381,0.233,0
TXN00012112,2025-07-15 01:06:47,UPI,Hyderabad,Utilities,M1023,C70046,611.38,6.417353004857024,1,0,1,0,0,1,1,0.01694915254237288,0.226,0.227,0
TXN00009178,2025-07-15 01:07:06,UPI,Kolkata,Fuel,M1089,C42539,3608.75,8.191393796851328,1,0,1,0,0,12,1,0.017543859649122806,0.471,0.385,0
TXN00024105,2025-07-15 01:08:10,Wallet,Chandigarh,Grocery,M1105,C70367,1260.56,7.14010432937574,1,0,1,0,0,10,2,0.02040816326530612,0.453,0.378,0
TXN00014406,2025-07-15 01:10:41,UPI,Ahmedabad,Utilities,M1464,C35011,3380.75,8.126148605969304,1,0,1,0,0,8,1,0.030303030303030304,0.364,0.388,0
TXN00036057,2025-07-15 01:11:29,UPI,Ahmedabad,Travel,M1725,C89428,14750.12,9.599074291088652,1,0,1,0,0,13,1,0.0,0.474,0.428,0
TXN00016684,2025-07-15 01:13:14,Card,Chandigarh,Electronics,M1213,C64621,2071.73,7.63662185793277,1,0,1,0,0,5,1,0.03636363636363636,0.208,0.234,0
TXN00041823,2025-07-15 01:13:23,Card,Mumbai,Fuel,M1320,C77222,2259.25,7.723230705617476,1,0,1,0,0,2,1,0.02,0.343,0.228,0
TXN00036207,2025-07-15 01:15:10,UPI,Chennai,Healthcare,M1594,C45096,1725.6,7.453909435801422,1,0,1,0,0,12,2,0.0,0.435,0.37,0
TXN00047819,2025-07-15 01:16:07,Card,Surat,Grocery,M1051,C61200,7266.67,8.891191023972313,1,0,1,0,0,9,1,0.0,0.478,0.403,0
TXN00029580,2025-07-15 01:16:23,UPI,Lucknow,Grocery,M1186,C11848,6155.98,8.725341676570705,1,0,1,0,0,5,3,0.0,0.337,0.247,0
TXN00029077,2025-07-15 01:18:13,Card,Ahmedabad,Fuel,M1849,C26731,8338.07,9.028706978343635,1,0,1,0,0,6,1,0.0425531914893617,0.615,0.424,0
TXN00031029,2025-07-15 01:21:13,UPI,Ahmedabad,Fuel,M1594,C24344,1020.62,6.929144881660608,1,0,1,0,0,11,1,0.0,0.616,0.37,0
TXN00036836,2025-07-15 01:22:06,UPI,Chandigarh,Fuel,M1277,C36242,4846.35,8.486187442852582,1,0,1,0,0,11,1,0.0,0.424,0.389,0
TXN00047711,2025-07-15 01:23:02,UPI,Delhi,Grocery,M1202,C78630,2912.18,7.977000547017433,1,0,1,0,0,11,1,0.04,0.604,0.386,1
TXN00005464,2025-07-15 01:24:03,Card,Kolkata,Food Delivery,M1644,C33758,27776.03,10.231964699145815,1,0,1,0,0,4,1,0.028985507246376812,0.575,0.312,0
TXN00030311,2025-07-15 01:24:47,UPI,Surat,Utilities,M1711,C44550,5924.62,8.68704060187902,1,0,1,0,0,5,1,0.0,0.288,0.246,0
TXN00001504,2025-07-15 01:27:16,UPI,Jaipur,Electronics,M1832,C89673,2135.79,7.66705998188963,1,0,1,0,0,5,2,0.045454545454545456,0.345,0.238,0
TXN00046260,2025-07-15 01:29:12,Wallet,Kochi,Grocery,M1125,C63412,1475.77,7.297612549349402,1,0,1,0,0,9,1,0.01639344262295082,0.43,0.376,0
TXN00004401,2025-07-15 01:29:30,UPI,Hyderabad,Travel,M1091,C23310,3811.87,8.246137465387028,1,0,1,0,0,2,1,0.05263157894736842,0.455,0.251,0
TXN00009834,2025-07-15 01:29:57,Wallet,Kochi,Fashion,M1379,C12454,13479.02,9.508963868144722,1,0,1,0,0,8,3,0.0,0.616,0.425,0
TXN00032604,2025-07-15 01:30:14,UPI,Bengaluru,Education,M1515,C37390,2997.89,8.005997499183358,1,0,1,1,0,5,2,0.0,0.614,0.422,0
TXN00030865,2025-07-15 01:30:57,UPI,Chandigarh,Food Delivery,M1700,C45039,7560.1,8.930771961234598,1,0,1,0,0,8,3,0.05555555555555555,0.454,0.426,0
TXN00004031,2025-07-15 01:30:59,UPI,Bengaluru,Gaming,M1314,C36799,1715.41,7.447990179248149,1,0,1,0,1,7,1,0.0,0.694,0.55,0
TXN00030380,2025-07-15 01:31:52,UPI,Delhi,Grocery,M1614,C56824,2778.32,7.929961572447621,1,0,1,0,0,11,2,0.0,0.395,0.37,0
TXN00044232,2025-07-15 01:32:06,UPI,Pune,Food Delivery,M1848,C79477,655.66,6.487166380728126,1,0,1,0,0,11,1,0.034482758620689655,0.378,0.383,0
TXN00044005,2025-07-15 01:33:14,UPI,Pune,Grocery,M1639,C89427,21182.27,9.960966998173188,1,0,1,1,0,11,2,0.03389830508474576,0.675,0.654,0
TXN00039180,2025-07-15 01:33:17,UPI,Pune,Travel,M1604,C25629,5084.27,8.534103404418179,1,0,1,0,0,10,2,0.0,0.436,0.39,0
TXN00020986,2025-07-15 01:35:46,UPI,Lucknow,Education,M1607,C82404,1495.03,7.31057021180929,1,0,1,0,0,11,2,0.016129032258064516,0.374,0.376,0
TXN00011368,2025-07-15 01:35:51,UPI,Kochi,Healthcare,M1026,C41499,1342.44,7.202988767586753,1,0,1,0,0,8,1,0.0,0.515,0.37,0
TXN00001618,2025-07-15 01:36:50,UPI,Hyderabad,Food Delivery,M1446,C43126,8600.03,9.059637242511911,1,0,1,0,0,3,1,0.015625,0.267,0.265,0
TXN00008512,2025-07-15 01:37:16,Card,Bengaluru,Utilities,M1700,C71587,18246.7,9.811794323671258,1,0,1,0,0,12,1,0.05555555555555555,0.386,0.457,0
TXN00045214,2025-07-15 01:37:47,Wallet,Indore,Travel,M1050,C27186,103.95,4.653484046266642,1,0,1,0,0,4,2,0.0,0.377,0.22,0
TXN00040234,2025-07-15 01:37:50,Card,Jaipur,Education,M1202,C52176,19060.54,9.85542797142589,1,0,1,0,0,13,1,0.04,0.613,0.453,1
TXN00013303,2025-07-15 01:38:07,UPI,Nagpur,Fashion,M1313,C80718,3651.42,8.203145240578687,1,0,1,0,0,4,1,0.0,0.427,0.229,0
TXN00006331,2025-07-15 01:38:11,UPI,Chennai,Food Delivery,M1417,C14703,2280.0,7.732369222284388,1,0,1,0,0,10,1,0.03773584905660377,0.478,0.385,0
TXN00023433,2025-07-15 01:39:25,UPI,Mumbai,Electronics,M1524,C18297,1830.27,7.512764994207445,1,0,1,0,0,12,2,0.018518518518518517,0.371,0.377,0
TXN00006171,2025-07-15 01:40:16,Card,Lucknow,Fashion,M1631,C78381,10555.43,9.264490431920503,1,0,1,0,0,13,3,0.05660377358490566,0.449,0.438,0
TXN00001331,2025-07-15 01:41:59,UPI,Jaipur,Food Delivery,M1138,C71450,1196.23,7.087765834134348,1,0,1,0,0,2,1,0.018867924528301886,0.22,0.227,0
TXN00018454,2025-07-15 01:42:33,UPI,Indore,Electronics,M1454,C31766,3241.16,8.083995053329536,1,0,1,0,0,2,2,0.03636363636363636,0.3,0.239,0
TXN00003986,2025-07-15 01:43:23,UPI,Ahmedabad,Utilities,M1896,C72631,1796.83,7.494335661062036,1,0,1,0,0,8,1,0.0625,0.381,0.394,0
TXN00015608,2025-07-15 01:43:57,UPI,Chennai,Fashion,M1405,C57970,7939.82,8.979771823467924,1,0,1,0,0,11,1,0.02040816326530612,0.401,0.414,0
TXN00018892,2025-07-15 01:43:58,Card,Chandigarh,Grocery,M1313,C80385,1330.64,7.194166544300472,1,0,1,0,0,1,1,0.0,0.441,0.22,0
TXN00047515,2025-07-15 01:46:09,Card,Nagpur,Travel,M1303,C29971,5304.65,8.57652756946134,1,0,1,0,0,9,2,0.017857142857142856,0.436,0.399,0
TXN00029517,2025-07-15 01:46:27,UPI,Ahmedabad,Food Delivery,M1876,C25114,8287.77,9.02265686558923,1,0,1,1,0,6,2,0.03125,0.68,0.62,0
TXN00038088,2025-07-15 01:52:01,Wallet,Nagpur,Travel,M1454,C56808,1019.91,6.9284496654056715,1,0,1,0,0,6,1,0.03636363636363636,0.551,0.384,0
TXN00014339,2025-07-15 01:52:28,UPI,Ahmedabad,Healthcare,M1426,C71614,2132.33,7.665439418178432,1,0,1,0,1,3,1,0.02040816326530612,0.382,0.408,0
TXN00000830,2025-07-15 01:53:34,UPI,Chandigarh,Food Delivery,M1463,C38948,4072.38,8.312228400620327,1,0,1,0,0,10,1,0.0,0.564,0.382,0
TXN00011255,2025-07-15 01:53:48,Wallet,Indore,Utilities,M1722,C34075,2554.24,7.845901431690129,1,0,1,0,0,6,1,0.0,0.369,0.37,0
TXN00012523,2025-07-15 01:55:28,UPI,Ahmedabad,Fashion,M1812,C67358,2019.73,7.611214111249621,1,0,1,0,0,12,2,0.07692307692307693,0.418,0.4,0
TXN00007487,2025-07-15 01:57:26,Card,Surat,Electronics,M1808,C60021,10013.7,9.211809292583858,1,0,1,0,0,11,1,0.04285714285714286,0.457,0.431,0
TXN00034173,2025-07-15 01:59:03,UPI,Hyderabad,Grocery,M1278,C82078,6546.22,8.786795811053546,1,0,1,0,0,13,2,0.0,0.36,0.399,0
TXN00020891,2025-07-15 01:59:11,UPI,Chandigarh,Food Delivery,M1865,C14915,5601.93,8.631044954180085,1,0,1,0,0,9,2,0.0,0.508,0.394,0
TXN00037230,2025-07-15 02:01:12,Wallet,Surat,Travel,M1694,C11123,2681.29,7.894426186258675,2,0,1,0,0,10,2,0.031746031746031744,0.448,0.382,0
TXN00003315,2025-07-15 02:01:16,Card,Chandigarh,Utilities,M1435,C84994,21124.19,9.958221446267768,2,0,1,0,0,6,2,0.0196078431372549,0.613,0.448,0
TXN00010330,2025-07-15 02:01:27,UPI,Chennai,Utilities,M1027,C77985,9351.65,9.143415004586068,2,0,1,0,0,12,1,0.017543859649122806,0.401,0.419,0
TXN00038856,2025-07-15 02:02:39,Card,Chandigarh,Education,M1422,C84272,13436.04,9.505770351725932,2,0,1,0,0,2,2,0.0,0.328,0.275,0
TXN00045574,2025-07-15 02:03:17,UPI,Surat,Fashion,M1841,C18914,2874.14,7.96385664769803,2,0,1,1,0,5,1,0.0,0.46,0.42,0
TXN00046874,2025-07-15 02:03:36,Card,Pune,Fashion,M1023,C35624,5554.98,8.622630104155732,2,0,1,0,0,10,2,0.01694915254237288,0.594,0.4,0
TXN00047045,2025-07-15 02:03:45,Wallet,Ahmedabad,Food Delivery,M1785,C29127,4920.28,8.50132393825156,2,0,1,0,0,9,1,0.03225806451612903,0.398,0.402,0
TXN00031963,2025-07-15 02:03:50,UPI,Chennai,Grocery,M1049,C58608,149.99,5.017213609456379,2,0,1,1,0,13,1,0.03333333333333333,0.683,0.583,0
TXN00001800,2025-07-15 02:04:19,Wallet,Kolkata,Food Delivery,M1274,C11592,2566.08,7.8505243451693225,2,0,1,0,0,6,1,0.019230769230769232,0.491,0.378,0
TXN00046357,2025-07-15 02:04:49,UPI,Ahmedabad,Travel,M1276,C70600,8455.66,9.04270957559223,2,0,1,1,0,1,4,0.0,0.487,0.458,0
TXN00013026,2025-07-15 02:06:29,Card,Ahmedabad,Travel,M1686,C48118,5297.97,8.57526774103118,2,0,1,1,0,6,4,0.02,0.697,0.6,0
TXN00023111,2025-07-15 02:06:44,UPI,Chandigarh,Food Delivery,M1235,C66617,5375.03,8.589705462544558,2,0,1,0,0,11,1,0.06818181818181818,0.413,0.419,0
TXN00020637,2025-07-15 02:07:17,UPI,Delhi,Fuel,M1461,C39900,10721.32,9.280082829120262,2,0,1,0,0,9,2,0.020833333333333332,0.48,0.425,0
TXN00014770,2025-07-15 02:07:48,Card,Jaipur,Fashion,M1734,C82874,3761.21,8.232761829674631,2,0,1,0,0,1,2,0.0,0.399,0.23,0
TXN00026149,2025-07-15 02:09:39,UPI,Indore,Travel,M1276,C89344,7703.05,8.949501443591895,2,0,1,0,0,3,1,0.0,0.357,0.255,0
TXN00030478,2025-07-15 02:10:02,UPI,Chandigarh,Fuel,M1132,C44988,2070.19,7.635878600306707,2,0,1,0,0,1,1,0.058823529411764705,0.283,0.243,0
TXN00042837,2025-07-15 02:11:09,Wallet,Chennai,Fashion,M1865,C44246,1700.95,7.439529931498511,2,0,1,0,0,12,1,0.0,0.389,0.37,0
TXN00006781,2025-07-15 02:11:58,UPI,Mumbai,Food Delivery,M1294,C67158,707.64,6.5633476401748885,2,0,1,0,0,12,1,0.041666666666666664,0.441,0.386,0
TXN00041363,2025-07-15 02:12:01,Card,Mumbai,Electronics,M1623,C78024,12105.46,9.401494473416836,2,0,1,0,0,13,1,0.02040816326530612,0.362,0.429,0
TXN00008658,2025-07-15 02:12:22,UPI,Jaipur,Utilities,M1431,C68643,4337.55,8.37529546988766,2,0,1,0,0,12,3,0.0,0.521,0.385,0
TXN00029082,2025-07-15 02:12:53,Card,Pune,Fuel,M1244,C10312,4138.73,8.328385847301309,2,0,1,0,0,4,1,0.017241379310344827,0.224,0.24,0
TXN00003821,2025-07-15 02:13:05,UPI,Nagpur,Healthcare,M1186,C25070,8801.06,9.082741063980388,2,0,1,0,0,1,2,0.0,0.187,0.26,0
TXN00018139,2025-07-15 02:13:09,Wallet,Hyderabad,Education,M1328,C70169,1099.46,7.003483553190996,2,0,1,0,0,13,2,0.05172413793103448,0.571,0.39,1
TXN00047733,2025-07-15 02:13:39,Wallet,Indore,Fuel,M1018,C31580,971.75,6.880127111864663,2,0,1,0,0,5,2,0.04081632653061224,0.296,0.236,0
TXN00007499,2025-07-15 02:13:57,UPI,Indore,Utilities,M1842,C75630,248.93,5.521180878654928,2,0,1,0,0,4,3,0.038461538461538464,0.431,0.235,0
TXN00012289,2025-07-15 02:14:44,Card,Nagpur,Fashion,M1639,C55410,4965.77,8.51052500841814,2,0,1,0,0,2,2,0.03389830508474576,0.27,0.253,0
