txn_id,txn_ts,channel,city,merchant_category,merchant_id,customer_id,device_id,amount_inr,is_night,is_new_device,is_geo_shift,txn_count_1h,fraud_score,is_fraud_label
TXN00025566,2025-07-15 00:14:15,UPI,Jaipur,Education,M1898,C56616,D88880,916.62,1,0,0,10,0.557,0
TXN00016206,2025-07-15 00:14:28,UPI,Pune,Grocery,M1098,C31634,D72828,906.43,1,0,0,13,0.419,0
TXN00018212,2025-07-15 00:16:01,Card,Kochi,Healthcare,M1170,C19124,D97240,4688.0,1,0,1,8,0.7,0
TXN00020541,2025-07-15 00:17:23,Card,Ahmedabad,Fuel,M1881,C29207,D61447,4579.93,1,0,0,5,0.459,0
TXN00014560,2025-07-15 00:17:49,UPI,Chennai,Electronics,M1067,C65781,D91201,8796.59,1,0,0,12,0.492,0
TXN00018696,2025-07-15 00:18:05,UPI,Kolkata,Food Delivery,M1264,C74505,D68652,2841.31,1,0,0,8,0.568,0
TXN00022648,2025-07-15 00:18:14,UPI,Ahmedabad,Fashion,M1429,C66749,D69589,13659.18,1,0,0,10,0.515,0
TXN00032533,2025-07-15 00:19:06,UPI,Nagpur,Food Delivery,M1861,C10488,D76388,687.46,1,0,0,13,0.506,0
TXN00006829,2025-07-15 00:20:00,UPI,Chandigarh,Fuel,M1461,C71107,D86158,8311.64,1,0,0,1,0.317,0
TXN00009343,2025-07-15 00:20:41,Card,Mumbai,Travel,M1639,C38035,D62393,7817.85,1,0,0,3,0.416,0
TXN00021406,2025-07-15 00:21:11,UPI,Chennai,Food Delivery,M1394,C18100,D76181,2954.08,1,0,0,10,0.496,0
TXN00020030,2025-07-15 00:22:34,UPI,Kochi,Gaming,M1837,C37908,D84254,1753.05,1,0,0,9,0.388,0
TXN00006861,2025-07-15 00:22:48,Card,Jaipur,Education,M1431,C74160,D84004,1672.12,1,0,0,10,0.514,0
TXN00031155,2025-07-15 00:22:50,UPI,Mumbai,Food Delivery,M1457,C26441,D61806,762.82,1,0,0,1,0.377,0
TXN00034081,2025-07-15 00:23:18,UPI,Surat,Utilities,M1177,C87937,D55722,4634.84,1,0,0,7,0.45,0
TXN00024934,2025-07-15 00:24:29,UPI,Jaipur,Food Delivery,M1045,C79796,D51317,2413.21,1,0,1,13,0.6,0
TXN00008943,2025-07-15 00:27:26,Wallet,Delhi,Food Delivery,M1674,C71598,D72405,1449.45,1,0,0,1,0.417,0
TXN00005762,2025-07-15 00:27:52,UPI,Jaipur,Education,M1377,C40236,D74854,751.3,1,0,0,9,0.457,0
TXN00034037,2025-07-15 00:29:27,UPI,Chandigarh,Food Delivery,M1554,C50629,D87538,638.28,1,0,0,8,0.482,0
TXN00019612,2025-07-15 00:29:52,UPI,Chandigarh,Utilities,M1418,C47872,D95626,1487.91,1,0,0,13,0.577,1
TXN00035524,2025-07-15 00:31:02,UPI,Bengaluru,Grocery,M1864,C61915,D67827,1935.21,1,0,0,10,0.567,0
TXN00015603,2025-07-15 00:31:26,Wallet,Chandigarh,Grocery,M1533,C20866,D97401,188.2,1,0,0,11,0.412,0
TXN00033540,2025-07-15 00:31:27,UPI,Pune,Gaming,M1220,C57636,D70404,1599.1,1,0,0,1,0.279,0
TXN00041712,2025-07-15 00:31:30,UPI,Kochi,Grocery,M1443,C13737,D62328,3316.96,1,0,0,12,0.423,0
TXN00031485,2025-07-15 00:31:50,UPI,Mumbai,Travel,M1189,C48917,D58643,7477.04,1,0,0,11,0.48,0
TXN00001867,2025-07-15 00:32:38,Card,Hyderabad,Travel,M1731,C87819,D51638,22857.58,1,0,0,4,0.45,0
TXN00000390,2025-07-15 00:35:38,Card,Kolkata,Utilities,M1799,C87174,D87303,2821.79,1,0,0,10,0.57,0
TXN00039378,2025-07-15 00:36:48,UPI,Ahmedabad,Fuel,M1664,C51258,D99704,3251.79,1,0,0,2,0.191,0
TXN00047208,2025-07-15 00:37:12,UPI,Mumbai,Utilities,M1592,C64808,D59570,1805.12,1,0,1,1,0.54,0
TXN00036421,2025-07-15 00:37:17,UPI,Mumbai,Education,M1693,C45022,D85440,939.56,1,0,0,6,0.443,0
TXN00017899,2025-07-15 00:37:27,UPI,Chandigarh,Grocery,M1083,C84428,D60631,9327.18,1,0,0,6,0.59,0
TXN00007648,2025-07-15 00:37:53,UPI,Jaipur,Food Delivery,M1684,C62736,D66590,1296.4,1,0,0,13,0.394,0
TXN00021086,2025-07-15 00:38:28,UPI,Bengaluru,Utilities,M1411,C65158,D65440,666.65,1,0,0,3,0.457,0
TXN00029255,2025-07-15 00:39:12,Card,Bengaluru,Grocery,M1295,C34615,D69661,9061.21,1,0,1,2,0.414,0
TXN00018222,2025-07-15 00:39:59,UPI,Kochi,Gaming,M1866,C64706,D81244,4092.92,1,0,0,12,0.353,0
TXN00039375,2025-07-15 00:44:00,Card,Pune,Fashion,M1213,C82724,D77259,5844.37,1,0,0,3,0.442,0
TXN00029248,2025-07-15 00:46:03,UPI,Nagpur,Food Delivery,M1567,C65532,D60142,7878.52,1,0,0,12,0.379,0
TXN00016164,2025-07-15 00:46:04,Card,Hyderabad,Healthcare,M1587,C85567,D53023,5096.77,1,0,0,1,0.181,0
TXN00046223,2025-07-15 00:46:19,Card,Delhi,Grocery,M1084,C13958,D72450,12827.01,1,0,0,2,0.4,0
TXN00046263,2025-07-15 00:46:20,UPI,Chennai,Fashion,M1473,C17056,D73629,2634.96,1,0,0,10,0.615,0
TXN00043317,2025-07-15 00:48:52,UPI,Chandigarh,Food Delivery,M1193,C53771,D94063,47829.12,1,0,0,2,0.463,0
TXN00015237,2025-07-15 00:49:39,Wallet,Kochi,Gaming,M1529,C77090,D95013,1942.43,1,0,0,8,0.395,0
TXN00016613,2025-07-15 00:51:43,UPI,Delhi,Gaming,M1707,C63084,D51701,2276.51,1,0,0,11,0.515,0
TXN00043256,2025-07-15 00:53:52,UPI,Indore,Grocery,M1513,C80094,D82952,4682.04,1,0,0,9,0.604,1
TXN00004677,2025-07-15 00:54:05,Card,Chandigarh,Food Delivery,M1074,C39022,D74595,10409.63,1,0,0,6,0.511,0
TXN00015483,2025-07-15 00:54:32,UPI,Jaipur,Fashion,M1523,C76757,D80697,3149.58,1,0,0,9,0.352,0
TXN00047642,2025-07-15 00:55:25,Wallet,Kochi,Electronics,M1485,C59425,D70551,869.92,1,0,0,2,0.436,0
TXN00021431,2025-07-15 00:55:25,Card,Nagpur,Utilities,M1402,C89466,D78890,12645.35,1,1,0,13,0.762,0
TXN00024434,2025-07-15 00:55:36,Card,Kolkata,Fashion,M1348,C77919,D64670,12136.55,1,0,1,7,0.813,0
TXN00018746,2025-07-15 00:58:11,Card,Hyderabad,Fuel,M1405,C82280,D55413,9222.71,1,0,0,5,0.362,0
TXN00018440,2025-07-15 00:59:01,UPI,Ahmedabad,Food Delivery,M1717,C27753,D90682,13652.39,1,1,0,9,0.644,0
TXN00025690,2025-07-15 00:59:36,Wallet,Nagpur,Travel,M1505,C21522,D80907,1402.41,1,0,0,5,0.294,0
TXN00022114,2025-07-15 01:01:45,Card,Surat,Grocery,M1320,C48241,D90533,10670.67,1,0,0,4,0.318,0
TXN00014233,2025-07-15 01:02:43,Card,Chennai,Food Delivery,M1054,C68893,D71457,13021.8,1,0,0,3,0.199,0
TXN00017804,2025-07-15 01:02:51,Card,Jaipur,Food Delivery,M1428,C28617,D79745,2589.6,1,0,1,9,0.625,1
TXN00028976,2025-07-15 01:03:02,UPI,Bengaluru,Travel,M1322,C54828,D73540,15950.49,1,0,0,10,0.391,0
TXN00012403,2025-07-15 01:04:53,Wallet,Nagpur,Healthcare,M1644,C89294,D65769,1835.34,1,1,0,5,0.558,0
TXN00009832,2025-07-15 01:05:34,UPI,Surat,Education,M1564,C22192,D56663,2180.51,1,0,0,4,0.208,0
TXN00005430,2025-07-15 01:05:36,UPI,Chandigarh,Food Delivery,M1222,C14294,D73113,549.21,1,0,0,10,0.508,0
TXN00013177,2025-07-15 01:06:14,UPI,Bengaluru,Gaming,M1283,C34147,D96658,423.1,1,0,0,4,0.206,0
TXN00040791,2025-07-15 01:06:15,UPI,Bengaluru,Fashion,M1850,C13237,D62561,2169.12,1,0,0,2,0.381,0
TXN00012112,2025-07-15 01:06:47,UPI,Hyderabad,Utilities,M1023,C70046,D72645,611.38,1,0,0,1,0.226,0
TXN00009178,2025-07-15 01:07:06,UPI,Kolkata,Fuel,M1089,C42539,D76865,3608.75,1,0,0,12,0.471,0
TXN00024105,2025-07-15 01:08:10,Wallet,Chandigarh,Grocery,M1105,C70367,D55919,1260.56,1,0,0,10,0.453,0
TXN00014406,2025-07-15 01:10:41,UPI,Ahmedabad,Utilities,M1464,C35011,D83448,3380.75,1,0,0,8,0.364,0
TXN00036057,2025-07-15 01:11:29,UPI,Ahmedabad,Travel,M1725,C89428,D64825,14750.12,1,0,0,13,0.474,0
TXN00016684,2025-07-15 01:13:14,Card,Chandigarh,Electronics,M1213,C64621,D61056,2071.73,1,0,0,5,0.208,0
TXN00041823,2025-07-15 01:13:23,Card,Mumbai,Fuel,M1320,C77222,D77676,2259.25,1,0,0,2,0.343,0
TXN00036207,2025-07-15 01:15:10,UPI,Chennai,Healthcare,M1594,C45096,D75731,1725.6,1,0,0,12,0.435,0
TXN00047819,2025-07-15 01:16:07,Card,Surat,Grocery,M1051,C61200,D58341,7266.67,1,0,0,9,0.478,0
TXN00029580,2025-07-15 01:16:23,UPI,Lucknow,Grocery,M1186,C11848,D54873,6155.98,1,0,0,5,0.337,0
TXN00029077,2025-07-15 01:18:13,Card,Ahmedabad,Fuel,M1849,C26731,D81801,8338.07,1,0,0,6,0.615,0
TXN00031029,2025-07-15 01:21:13,UPI,Ahmedabad,Fuel,M1594,C24344,D79274,1020.62,1,0,0,11,0.616,0
TXN00036836,2025-07-15 01:22:06,UPI,Chandigarh,Fuel,M1277,C36242,D53041,4846.35,1,0,0,11,0.424,0
TXN00047711,2025-07-15 01:23:02,UPI,Delhi,Grocery,M1202,C78630,D55227,2912.18,1,0,0,11,0.604,1
TXN00005464,2025-07-15 01:24:03,Card,Kolkata,Food Delivery,M1644,C33758,D70430,27776.03,1,0,0,4,0.575,0
TXN00030311,2025-07-15 01:24:47,UPI,Surat,Utilities,M1711,C44550,D71610,5924.62,1,0,0,5,0.288,0
TXN00001504,2025-07-15 01:27:16,UPI,Jaipur,Electronics,M1832,C89673,D98659,2135.79,1,0,0,5,0.345,0
TXN00046260,2025-07-15 01:29:12,Wallet,Kochi,Grocery,M1125,C63412,D51326,1475.77,1,0,0,9,0.43,0
TXN00004401,2025-07-15 01:29:30,UPI,Hyderabad,Travel,M1091,C23310,D51718,3811.87,1,0,0,2,0.455,0
TXN00009834,2025-07-15 01:29:57,Wallet,Kochi,Fashion,M1379,C12454,D78135,13479.02,1,0,0,8,0.616,0
TXN00032604,2025-07-15 01:30:14,UPI,Bengaluru,Education,M1515,C37390,D76617,2997.89,1,1,0,5,0.614,0
TXN00030865,2025-07-15 01:30:57,UPI,Chandigarh,Food Delivery,M1700,C45039,D99612,7560.1,1,0,0,8,0.454,0
TXN00004031,2025-07-15 01:30:59,UPI,Bengaluru,Gaming,M1314,C36799,D60920,1715.41,1,0,1,7,0.694,0
TXN00030380,2025-07-15 01:31:52,UPI,Delhi,Grocery,M1614,C56824,D50189,2778.32,1,0,0,11,0.395,0
TXN00044232,2025-07-15 01:32:06,UPI,Pune,Food Delivery,M1848,C79477,D90463,655.66,1,0,0,11,0.378,0
TXN00044005,2025-07-15 01:33:14,UPI,Pune,Grocery,M1639,C89427,D97653,21182.27,1,1,0,11,0.675,0
TXN00039180,2025-07-15 01:33:17,UPI,Pune,Travel,M1604,C25629,D88258,5084.27,1,0,0,10,0.436,0
TXN00020986,2025-07-15 01:35:46,UPI,Lucknow,Education,M1607,C82404,D59923,1495.03,1,0,0,11,0.374,0
TXN00011368,2025-07-15 01:35:51,UPI,Kochi,Healthcare,M1026,C41499,D93033,1342.44,1,0,0,8,0.515,0
TXN00001618,2025-07-15 01:36:50,UPI,Hyderabad,Food Delivery,M1446,C43126,D98955,8600.03,1,0,0,3,0.267,0
TXN00008512,2025-07-15 01:37:16,Card,Bengaluru,Utilities,M1700,C71587,D91814,18246.7,1,0,0,12,0.386,0
TXN00045214,2025-07-15 01:37:47,Wallet,Indore,Travel,M1050,C27186,D56618,103.95,1,0,0,4,0.377,0
TXN00040234,2025-07-15 01:37:50,Card,Jaipur,Education,M1202,C52176,D65860,19060.54,1,0,0,13,0.613,1
TXN00013303,2025-07-15 01:38:07,UPI,Nagpur,Fashion,M1313,C80718,D97688,3651.42,1,0,0,4,0.427,0
TXN00006331,2025-07-15 01:38:11,UPI,Chennai,Food Delivery,M1417,C14703,D50540,2280.0,1,0,0,10,0.478,0
TXN00023433,2025-07-15 01:39:25,UPI,Mumbai,Electronics,M1524,C18297,D87443,1830.27,1,0,0,12,0.371,0
TXN00006171,2025-07-15 01:40:16,Card,Lucknow,Fashion,M1631,C78381,D92928,10555.43,1,0,0,13,0.449,0
TXN00001331,2025-07-15 01:41:59,UPI,Jaipur,Food Delivery,M1138,C71450,D80248,1196.23,1,0,0,2,0.22,0
TXN00018454,2025-07-15 01:42:33,UPI,Indore,Electronics,M1454,C31766,D97439,3241.16,1,0,0,2,0.3,0
TXN00003986,2025-07-15 01:43:23,UPI,Ahmedabad,Utilities,M1896,C72631,D61842,1796.83,1,0,0,8,0.381,0
TXN00015608,2025-07-15 01:43:57,UPI,Chennai,Fashion,M1405,C57970,D81625,7939.82,1,0,0,11,0.401,0
TXN00018892,2025-07-15 01:43:58,Card,Chandigarh,Grocery,M1313,C80385,D65286,1330.64,1,0,0,1,0.441,0
TXN00047515,2025-07-15 01:46:09,Card,Nagpur,Travel,M1303,C29971,D98597,5304.65,1,0,0,9,0.436,0
TXN00029517,2025-07-15 01:46:27,UPI,Ahmedabad,Food Delivery,M1876,C25114,D57891,8287.77,1,1,0,6,0.68,0
TXN00038088,2025-07-15 01:52:01,Wallet,Nagpur,Travel,M1454,C56808,D54738,1019.91,1,0,0,6,0.551,0
TXN00014339,2025-07-15 01:52:28,UPI,Ahmedabad,Healthcare,M1426,C71614,D85262,2132.33,1,0,1,3,0.382,0
TXN00000830,2025-07-15 01:53:34,UPI,Chandigarh,Food Delivery,M1463,C38948,D99289,4072.38,1,0,0,10,0.564,0
TXN00011255,2025-07-15 01:53:48,Wallet,Indore,Utilities,M1722,C34075,D89515,2554.24,1,0,0,6,0.369,0
TXN00012523,2025-07-15 01:55:28,UPI,Ahmedabad,Fashion,M1812,C67358,D81092,2019.73,1,0,0,12,0.418,0
TXN00007487,2025-07-15 01:57:26,Card,Surat,Electronics,M1808,C60021,D87659,10013.7,1,0,0,11,0.457,0
TXN00034173,2025-07-15 01:59:03,UPI,Hyderabad,Grocery,M1278,C82078,D55782,6546.22,1,0,0,13,0.36,0
TXN00020891,2025-07-15 01:59:11,UPI,Chandigarh,Food Delivery,M1865,C14915,D54117,5601.93,1,0,0,9,0.508,0
TXN00037230,2025-07-15 02:01:12,Wallet,Surat,Travel,M1694,C11123,D80917,2681.29,1,0,0,10,0.448,0
TXN00003315,2025-07-15 02:01:16,Card,Chandigarh,Utilities,M1435,C84994,D58830,21124.19,1,0,0,6,0.613,0
TXN00010330,2025-07-15 02:01:27,UPI,Chennai,Utilities,M1027,C77985,D90388,9351.65,1,0,0,12,0.401,0
TXN00038856,2025-07-15 02:02:39,Card,Chandigarh,Education,M1422,C84272,D88369,13436.04,1,0,0,2,0.328,0
TXN00045574,2025-07-15 02:03:17,UPI,Surat,Fashion,M1841,C18914,D67216,2874.14,1,1,0,5,0.46,0
TXN00046874,2025-07-15 02:03:36,Card,Pune,Fashion,M1023,C35624,D94783,5554.98,1,0,0,10,0.594,0
TXN00047045,2025-07-15 02:03:45,Wallet,Ahmedabad,Food Delivery,M1785,C29127,D85697,4920.28,1,0,0,9,0.398,0
TXN00031963,2025-07-15 02:03:50,UPI,Chennai,Grocery,M1049,C58608,D94206,149.99,1,1,0,13,0.683,0
TXN00001800,2025-07-15 02:04:19,Wallet,Kolkata,Food Delivery,M1274,C11592,D70742,2566.08,1,0,0,6,0.491,0
TXN00046357,2025-07-15 02:04:49,UPI,Ahmedabad,Travel,M1276,C70600,D96673,8455.66,1,1,0,1,0.487,0
TXN00013026,2025-07-15 02:06:29,Card,Ahmedabad,Travel,M1686,C48118,D63283,5297.97,1,1,0,6,0.697,0
TXN00023111,2025-07-15 02:06:44,UPI,Chandigarh,Food Delivery,M1235,C66617,D89809,5375.03,1,0,0,11,0.413,0
TXN00020637,2025-07-15 02:07:17,UPI,Delhi,Fuel,M1461,C39900,D88652,10721.32,1,0,0,9,0.48,0
TXN00014770,2025-07-15 02:07:48,Card,Jaipur,Fashion,M1734,C82874,D57581,3761.21,1,0,0,1,0.399,0
TXN00026149,2025-07-15 02:09:39,UPI,Indore,Travel,M1276,C89344,D89971,7703.05,1,0,0,3,0.357,0
TXN00030478,2025-07-15 02:10:02,UPI,Chandigarh,Fuel,M1132,C44988,D98481,2070.19,1,0,0,1,0.283,0
TXN00042837,2025-07-15 02:11:09,Wallet,Chennai,Fashion,M1865,C44246,D79169,1700.95,1,0,0,12,0.389,0
TXN00006781,2025-07-15 02:11:58,UPI,Mumbai,Food Delivery,M1294,C67158,D98889,707.64,1,0,0,12,0.441,0
TXN00041363,2025-07-15 02:12:01,Card,Mumbai,Electronics,M1623,C78024,D79477,12105.46,1,0,0,13,0.362,0
TXN00008658,2025-07-15 02:12:22,UPI,Jaipur,Utilities,M1431,C68643,D82357,4337.55,1,0,0,12,0.521,0
TXN00029082,2025-07-15 02:12:53,Card,Pune,Fuel,M1244,C10312,D60594,4138.73,1,0,0,4,0.224,0
TXN00003821,2025-07-15 02:13:05,UPI,Nagpur,Healthcare,M1186,C25070,D99924,8801.06,1,0,0,1,0.187,0
TXN00018139,2025-07-15 02:13:09,Wallet,Hyderabad,Education,M1328,C70169,D65988,1099.46,1,0,0,13,0.571,1
TXN00047733,2025-07-15 02:13:39,Wallet,Indore,Fuel,M1018,C31580,D53388,971.75,1,0,0,5,0.296,0
TXN00007499,2025-07-15 02:13:57,UPI,Indore,Utilities,M1842,C75630,D85863,248.93,1,0,0,4,0.431,0
TXN00012289,2025-07-15 02:14:44,Card,Nagpur,Fashion,M1639,C55410,D52396,4965.77,1,0,0,2,0.27,0
TXN00027877,2025-07-15 02:15:03,UPI,Chennai,Electronics,M1096,C72731,D52679,5252.9,1,0,0,1,0.185,0
TXN00002243,2025-07-15 02:15:08,UPI,Surat,Grocery,M1716,C26598,D53911,962.7,1,0,0,13,0.449,0
TXN00012673,2025-07-15 02:15:13,UPI,Kochi,Fashion,M1117,C89984,D68756,1566.08,1,0,0,6,0.46,0
TXN00004002,2025-07-15 02:15:49,Wallet,Chandigarh,Fuel,M1524,C86157,D62614,488.8,1,0,1,11,0.81,1
TXN00007228,2025-07-15 02:16:46,UPI,Pune,Food Delivery,M1656,C17462,D89119,4052.12,1,0,1,3,0.553,0
TXN00001320,2025-07-15 02:19:15,UPI,Bengaluru,Food Delivery,M1185,C84097,D62766,2042.31,1,0,0,12,0.459,0
TXN00044686,2025-07-15 02:22:15,Card,Mumbai,Education,M1073,C63691,D93103,17428.76,1,0,0,1,0.379,0
TXN00036929,2025-07-15 02:22:57,UPI,Mumbai,Gaming,M1188,C25407,D62348,960.09,1,0,0,5,0.218,0
TXN00031996,2025-07-15 02:24:38,Wallet,Ahmedabad,Fuel,M1891,C78064,D79337,816.91,1,0,1,6,0.736,1
TXN00046528,2025-07-15 02:24:48,UPI,Delhi,Grocery,M1234,C26843,D95652,2385.6,1,0,0,4,0.203,0
TXN00024532,2025-07-15 02:24:53,UPI,Chandigarh,Fashion,M1122,C26850,D98636,14216.52,1,0,0,13,0.592,0
TXN00039143,2025-07-15 02:25:49,UPI,Chennai,Electronics,M1577,C17832,D83639,14508.43,1,0,1,11,0.789,1
TXN00019935,2025-07-15 02:26:05,UPI,Delhi,Healthcare,M1354,C24164,D91500,313.77,1,0,0,8,0.5,0
TXN00000770,2025-07-15 02:26:39,Card,Kochi,Fashion,M1566,C36189,D55534,3837.67,1,0,0,12,0.429,0
TXN00021379,2025-07-15 02:26:53,Wallet,Delhi,Fuel,M1581,C83122,D76017,3557.32,1,0,0,12,0.38,0
TXN00046824,2025-07-15 02:26:57,Wallet,Chandigarh,Fashion,M1712,C39206,D95940,925.14,1,0,0,5,0.437,0
TXN00028805,2025-07-15 02:28:12,Card,Ahmedabad,Education,M1179,C50841,D86068,38110.19,1,0,0,2,0.483,0
TXN00038530,2025-07-15 02:28:58,UPI,Mumbai,Healthcare,M1732,C57026,D84564,3588.12,1,0,0,8,0.513,0
TXN00026168,2025-07-15 02:29:00,Card,Kochi,Food Delivery,M1065,C21722,D82516,2846.56,1,0,0,8,0.572,0
TXN00024907,2025-07-15 02:36:11,Card,Indore,Travel,M1648,C28019,D82740,4638.35,1,0,0,1,0.323,0
TXN00034535,2025-07-15 02:37:09,UPI,Delhi,Fuel,M1770,C86349,D73678,758.49,1,0,0,8,0.428,0
TXN00047390,2025-07-15 02:38:31,Card,Bengaluru,Electronics,M1189,C32119,D52376,8421.67,1,0,0,8,0.359,0
TXN00021201,2025-07-15 02:41:02,Card,Chandigarh,Electronics,M1545,C85917,D78949,2632.91,1,0,0,5,0.344,0
TXN00028236,2025-07-15 02:41:45,UPI,Chandigarh,Fashion,M1812,C73577,D54033,3064.88,1,0,0,3,0.401,0
TXN00003644,2025-07-15 02:44:46,Wallet,Jaipur,Food Delivery,M1815,C55456,D57282,525.62,1,0,0,13,0.431,0
TXN00034364,2025-07-15 02:44:49,Card,Bengaluru,Food Delivery,M1573,C81751,D67633,4903.61,1,0,0,2,0.238,0
TXN00007551,2025-07-15 02:44:55,UPI,Nagpur,Grocery,M1035,C18750,D98856,1327.18,1,1,0,7,0.732,1
TXN00019239,2025-07-15 02:45:39,UPI,Surat,Fashion,M1290,C53786,D66504,9948.54,1,1,0,13,0.574,0
TXN00036001,2025-07-15 02:45:59,Card,Kochi,Healthcare,M1467,C44609,D95068,6155.32,1,0,0,2,0.452,0
TXN00024347,2025-07-15 02:46:31,Wallet,Surat,Grocery,M1521,C13344,D91511,4692.06,1,0,0,8,0.583,0
TXN00026573,2025-07-15 02:46:31,UPI,Nagpur,Grocery,M1073,C12272,D74308,499.82,1,0,1,8,0.63,0
TXN00023913,2025-07-15 02:47:38,UPI,Indore,Food Delivery,M1326,C24489,D98480,1121.55,1,0,0,13,0.41,0
TXN00043413,2025-07-15 02:49:37,Card,Lucknow,Grocery,M1276,C75759,D54474,42190.22,1,0,0,4,0.364,0
TXN00030928,2025-07-15 02:52:16,Card,Hyderabad,Grocery,M1398,C69001,D69668,72892.51,1,0,0,2,0.47,0
TXN00042095,2025-07-15 02:53:01,UPI,Lucknow,Grocery,M1797,C64258,D80715,2454.58,1,0,0,5,0.402,0
TXN00002422,2025-07-15 02:54:54,Card,Kolkata,Grocery,M1674,C13167,D59035,23889.49,1,0,0,13,0.38,0
TXN00001909,2025-07-15 02:55:50,UPI,Pune,Grocery,M1519,C48118,D50118,1862.03,1,0,0,7,0.525,0
TXN00037413,2025-07-15 02:56:29,UPI,Hyderabad,Travel,M1277,C26260,D97396,961.5,1,0,0,12,0.53,0
TXN00046869,2025-07-15 02:56:42,UPI,Kolkata,Food Delivery,M1886,C83582,D90631,3735.98,1,0,1,8,0.68,0
TXN00030280,2025-07-15 02:57:00,Card,Chennai,Fashion,M1513,C21218,D67515,7894.64,1,0,0,6,0.488,0
TXN00012351,2025-07-15 02:58:07,UPI,Kolkata,Fuel,M1691,C64304,D52543,1155.42,1,1,0,9,0.735,1
TXN00044864,2025-07-15 02:58:31,UPI,Surat,Food Delivery,M1752,C51986,D75877,5016.53,1,0,0,13,0.49,0
TXN00042000,2025-07-15 03:00:06,UPI,Mumbai,Grocery,M1414,C60678,D51534,468.61,1,0,0,7,0.562,0
TXN00011364,2025-07-15 03:01:31,Wallet,Kochi,Healthcare,M1665,C43635,D81243,1307.17,1,0,0,10,0.382,0
TXN00007726,2025-07-15 03:02:15,Card,Lucknow,Electronics,M1102,C64446,D65387,13298.55,1,0,0,4,0.415,0
TXN00028209,2025-07-15 03:03:08,UPI,Kolkata,Travel,M1679,C14093,D60149,1405.45,1,0,0,7,0.355,0
TXN00035298,2025-07-15 03:03:19,Card,Delhi,Grocery,M1374,C25378,D98043,9157.49,1,0,0,6,0.571,0
TXN00030257,2025-07-15 03:03:24,UPI,Pune,Electronics,M1511,C52661,D63080,2032.81,1,0,0,2,0.289,0
TXN00046279,2025-07-15 03:03:36,UPI,Mumbai,Utilities,M1602,C75873,D53968,1937.56,1,0,0,10,0.516,0
TXN00007815,2025-07-15 03:03:36,UPI,Pune,Grocery,M1502,C51048,D87766,2289.33,1,0,0,9,0.42,0
TXN00007988,2025-07-15 03:06:45,Wallet,Ahmedabad,Grocery,M1090,C71912,D56450,748.37,1,0,0,5,0.274,0
TXN00002416,2025-07-15 03:07:08,UPI,Chennai,Food Delivery,M1735,C26814,D70340,1059.28,1,0,0,8,0.407,0
TXN00047901,2025-07-15 03:07:24,Card,Chennai,Fuel,M1645,C50493,D68101,3529.09,1,0,0,1,0.346,0
