dispute_id,txn_id,opened_ts,channel,city,amount_inr,dispute_type,status
DSP000059,TXN00012441,2025-07-18 22:55:11,Card,Kolkata,14203.43,Unauthorized,Under Review
DSP000060,TXN00044549,2025-07-17 01:49:19,Wallet,Surat,3440.09,Unauthorized,Under Review
DSP000061,TXN00024420,2025-07-18 11:34:06,Card,Lucknow,4382.29,Duplicate charge,Won
DSP000062,TXN00016978,2025-07-19 13:35:55,Wallet,Kolkata,5564.73,Goods not received,Under Review
DSP000063,TXN00003081,2025-07-20 06:43:19,UPI,Jaipur,1241.77,Unauthorized,Open
DSP000064,TXN00041336,2025-07-19 14:16:17,UPI,Chandigarh,1121.94,Unauthorized,Won
DSP000065,TXN00035964,2025-07-18 14:30:55,UPI,Delhi,5675.16,Goods not received,Lost
DSP000066,TXN00029274,2025-07-19 11:24:29,Card,Nagpur,4250.46,Account takeover,Under Review
DSP000067,TXN00044029,2025-07-18 16:26:59,Card,Surat,8524.14,Unauthorized,Won
DSP000068,TXN00013364,2025-07-20 17:01:51,Card,Lucknow,13643.46,Duplicate charge,Under Review
DSP000069,TXN00020547,2025-07-17 22:13:47,Card,Ahmedabad,10347.42,Goods not received,Lost
DSP000070,TXN00039949,2025-07-20 02:06:58,UPI,Kolkata,3647.22,Duplicate charge,Under Review
DSP000071,TXN00002308,2025-07-19 18:16:11,Card,Pune,3312.44,Account takeover,Under Review
DSP000072,TXN00035268,2025-07-18 05:43:53,UPI,Kochi,4464.08,Unauthorized,Withdrawn
DSP000073,TXN00015244,2025-07-19 21:12:19,Wallet,Kochi,492.69,Duplicate charge,Under Review
DSP000074,TXN00046622,2025-07-18 18:35:34,UPI,Chandigarh,6716.45,Amount mismatch,Lost
DSP000075,TXN00041254,2025-07-18 20:56:31,Card,Nagpur,9895.21,Account takeover,Won
DSP000076,TXN00008989,2025-07-19 13:01:13,Card,Lucknow,25680.6,Account takeover,Open
DSP000077,TXN00026658,2025-07-20 12:51:43,Wallet,Kochi,1335.69,Unauthorized,Lost
DSP000078,TXN00005577,2025-07-20 23:05:12,UPI,Hyderabad,1772.94,Amount mismatch,Under Review
DSP000079,TXN00029819,2025-07-19 00:28:14,UPI,Lucknow,543.75,Unauthorized,Won
DSP000080,TXN00046225,2025-07-19 18:33:07,Card,Kochi,7396.7,Amount mismatch,Under Review
DSP000081,TXN00008931,2025-07-19 03:16:24,UPI,Lucknow,1831.43,Unauthorized,Won
DSP000082,TXN00047190,2025-07-20 02:23:08,UPI,Kochi,1308.31,Goods not received,Open
DSP000083,TXN00010395,2025-07-18 14:46:47,UPI,Chandigarh,131.04,Duplicate charge,Lost
DSP000084,TXN00013045,2025-07-19 02:12:29,UPI,Hyderabad,1680.25,Duplicate charge,Open
DSP000085,TXN00037903,2025-07-21 05:44:37,UPI,Nagpur,4002.08,Goods not received,Lost
DSP000086,TXN00025014,2025-07-19 04:10:33,UPI,Kolkata,1860.57,Unauthorized,Open
DSP000087,TXN00039779,2025-07-19 14:24:19,Wallet,Jaipur,234.2,Unauthorized,Won
DSP000088,TXN00041930,2025-07-20 09:21:03,UPI,Surat,2260.05,Unauthorized,Open
DSP000089,TXN00016769,2025-07-19 05:21:54,UPI,Nagpur,3122.28,Account takeover,Open
DSP000090,TXN00013970,2025-07-21 00:28:42,UPI,Chandigarh,1616.6,Unauthorized,Under Review
DSP000091,TXN00038543,2025-07-20 22:36:55,Card,Hyderabad,12264.58,Amount mismatch,Withdrawn
DSP000092,TXN00045774,2025-07-21 05:57:09,UPI,Nagpur,4301.61,Unauthorized,Won
DSP000093,TXN00027017,2025-07-19 15:45:22,Card,Jaipur,28691.31,Account takeover,Withdrawn
DSP000094,TXN00032212,2025-07-19 22:06:42,UPI,Bengaluru,4020.48,Goods not received,Open
DSP000095,TXN00039090,2025-07-20 18:53:09,UPI,Mumbai,3563.9,Unauthorized,Won
DSP000096,TXN00019106,2025-07-21 20:10:51,UPI,Nagpur,1629.83,Unauthorized,Withdrawn
DSP000097,TXN00026456,2025-07-21 17:24:43,UPI,Kochi,248.32,Unauthorized,Lost
DSP000098,TXN00013124,2025-07-21 05:13:03,UPI,Delhi,2176.98,Unauthorized,Under Review
DSP000099,TXN00008858,2025-07-20 16:45:19,Wallet,Ahmedabad,1802.02,Unauthorized,Under Review
DSP000100,TXN00041637,2025-07-21 13:03:40,UPI,Lucknow,723.62,Account takeover,Won
DSP000101,TXN00006225,2025-07-21 23:15:54,Card,Jaipur,2564.58,Unauthorized,Lost
DSP000102,TXN00023905,2025-07-19 04:43:21,Card,Chandigarh,1695.49,Goods not received,Under Review
DSP000103,TXN00005997,2025-07-19 06:43:36,UPI,Jaipur,1287.26,Goods not received,Open
DSP000104,TXN00042217,2025-07-21 21:21:43,UPI,Kochi,4835.12,Account takeover,Withdrawn
DSP000105,TXN00043460,2025-07-20 16:32:52,UPI,Lucknow,1664.59,Unauthorized,Won
DSP000106,TXN00027527,2025-07-21 22:06:11,UPI,Kochi,1608.86,Duplicate charge,Under Review
DSP000107,TXN00003095,2025-07-20 05:33:25,UPI,Hyderabad,6375.84,Amount mismatch,Under Review
DSP000108,TXN00002587,2025-07-21 02:03:27,UPI,Kochi,1663.71,Account takeover,Won
DSP000109,TXN00041603,2025-07-20 11:05:25,UPI,Chennai,2962.79,Account takeover,Under Review
DSP000110,TXN00030035,2025-07-21 03:09:43,Card,Nagpur,29486.0,Goods not received,Open
DSP000111,TXN00006326,2025-07-21 16:17:52,UPI,Pune,24422.6,Account takeover,Withdrawn
DSP000112,TXN00002030,2025-07-20 00:21:57,Wallet,Chandigarh,1371.62,Unauthorized,Under Review
DSP000113,TXN00025688,2025-07-21 20:45:43,UPI,Hyderabad,2611.91,Unauthorized,Lost
DSP000114,TXN00040282,2025-07-21 15:09:16,UPI,Mumbai,3100.0,Account takeover,Under Review
DSP000115,TXN00014751,2025-07-22 08:46:17,UPI,Surat,754.88,Duplicate charge,Lost
DSP000116,TXN00029471,2025-07-20 13:19:00,UPI,Chandigarh,5008.94,Amount mismatch,Lost
DSP000117,TXN00026950,2025-07-22 02:25:39,UPI,Surat,2656.69,Amount mismatch,Lost
DSP000118,TXN00019871,2025-07-20 12:13:04,UPI,Hyderabad,1315.14,Amount mismatch,Lost
DSP000119,TXN00015732,2025-07-20 02:08:51,Card,Surat,19212.78,Amount mismatch,Under Review
DSP000120,TXN00003102,2025-07-21 17:07:29,Card,Surat,14023.78,Amount mismatch,Won
DSP000121,TXN00037193,2025-07-22 11:43:30,Wallet,Delhi,1693.2,Goods not received,Under Review
DSP000122,TXN00000689,2025-07-21 21:54:31,Card,Hyderabad,1440.95,Unauthorized,Won
DSP000123,TXN00014805,2025-07-21 23:52:50,UPI,Pune,496.72,Duplicate charge,Won
DSP000124,TXN00042608,2025-07-22 00:03:12,UPI,Kochi,668.75,Account takeover,Lost
DSP000125,TXN00003446,2025-07-21 04:41:49,Wallet,Bengaluru,1578.16,Unauthorized,Under Review
DSP000126,TXN00004115,2025-07-22 06:11:49,Card,Surat,10723.83,Account takeover,Under Review
DSP000127,TXN00033127,2025-07-21 19:10:49,Wallet,Pune,2341.44,Unauthorized,Withdrawn
DSP000128,TXN00031412,2025-07-21 02:02:12,Card,Kochi,2311.58,Goods not received,Under Review
DSP000129,TXN00016528,2025-07-21 12:47:03,Wallet,Jaipur,4199.14,Account takeover,Lost
DSP000130,TXN00024512,2025-07-21 01:51:13,UPI,Indore,486.13,Duplicate charge,Under Review
DSP000131,TXN00017489,2025-07-21 12:20:42,UPI,Indore,2213.87,Unauthorized,Won
DSP000132,TXN00027069,2025-07-20 15:24:01,UPI,Chennai,3293.36,Duplicate charge,Under Review
DSP000133,TXN00040028,2025-07-20 20:46:19,UPI,Mumbai,960.46,Goods not received,Open
DSP000134,TXN00029653,2025-07-23 10:49:27,Card,Kolkata,7459.14,Unauthorized,Under Review
DSP000135,TXN00035976,2025-07-23 06:53:26,UPI,Kolkata,1680.01,Account takeover,Under Review
DSP000136,TXN00030567,2025-07-21 20:19:39,UPI,Ahmedabad,1308.35,Goods not received,Open
DSP000137,TXN00010388,2025-07-20 19:23:35,UPI,Kochi,7155.08,Amount mismatch,Withdrawn
DSP000138,TXN00020436,2025-07-21 10:29:21,UPI,Indore,2386.61,Goods not received,Withdrawn
DSP000139,TXN00001985,2025-07-21 08:44:32,Card,Nagpur,4000.34,Unauthorized,Won
DSP000140,TXN00037588,2025-07-21 06:05:14,UPI,Chennai,723.51,Duplicate charge,Open
DSP000141,TXN00022990,2025-07-22 22:36:45,Card,Indore,3775.4,Unauthorized,Lost
DSP000142,TXN00030410,2025-07-21 19:11:40,Card,Jaipur,5520.77,Amount mismatch,Won
DSP000143,TXN00043488,2025-07-21 05:27:36,UPI,Bengaluru,4250.52,Unauthorized,Withdrawn
DSP000144,TXN00028454,2025-07-22 22:27:13,UPI,Mumbai,3806.55,Duplicate charge,Open
DSP000145,TXN00028104,2025-07-23 16:31:39,UPI,Kochi,885.36,Duplicate charge,Withdrawn
DSP000146,TXN00040159,2025-07-23 06:39:38,UPI,Kolkata,7740.78,Account takeover,Under Review
DSP000147,TXN00042721,2025-07-21 02:44:20,Card,Surat,4016.5,Goods not received,Under Review
DSP000148,TXN00004140,2025-07-21 09:46:30,UPI,Jaipur,651.21,Unauthorized,Won
DSP000149,TXN00021434,2025-07-21 00:34:03,UPI,Hyderabad,2366.47,Unauthorized,Won
DSP000150,TXN00004443,2025-07-22 08:34:58,Card,Delhi,3920.96,Account takeover,Withdrawn
DSP000151,TXN00045667,2025-07-23 03:05:59,Card,Mumbai,5063.36,Goods not received,Open
DSP000152,TXN00016175,2025-07-23 07:18:53,Card,Jaipur,3200.7,Goods not received,Lost
DSP000153,TXN00020357,2025-07-22 07:27:07,UPI,Hyderabad,10460.21,Unauthorized,Won
DSP000154,TXN00038526,2025-07-23 18:27:56,UPI,Hyderabad,850.42,Amount mismatch,Open
DSP000155,TXN00023071,2025-07-21 06:46:57,Card,Ahmedabad,10518.55,Unauthorized,Withdrawn
DSP000156,TXN00035275,2025-07-22 23:00:41,UPI,Kochi,1013.99,Account takeover,Won
DSP000157,TXN00038259,2025-07-23 20:30:39,Card,Pune,12897.43,Unauthorized,Won
DSP000158,TXN00021278,2025-07-22 13:50:04,Wallet,Hyderabad,394.67,Goods not received,Under Review
DSP000159,TXN00046362,2025-07-23 04:17:24,UPI,Pune,3913.74,Goods not received,Open
DSP000160,TXN00026263,2025-07-24 01:41:00,UPI,Surat,3492.79,Account takeover,Open
DSP000161,TXN00012324,2025-07-22 18:19:10,Wallet,Nagpur,634.74,Goods not received,Open
DSP000162,TXN00028728,2025-07-22 00:32:13,Card,Ahmedabad,5051.32,Goods not received,Under Review
DSP000163,TXN00000941,2025-07-21 20:20:15,Wallet,Lucknow,9573.09,Account takeover,Won
DSP000164,TXN00044490,2025-07-21 19:14:09,UPI,Lucknow,4256.53,Unauthorized,Under Review
DSP000165,TXN00046158,2025-07-24 02:23:56,Card,Nagpur,3162.58,Unauthorized,Under Review
DSP000166,TXN00013076,2025-07-22 16:56:07,Card,Ahmedabad,3078.67,Goods not received,Won
DSP000167,TXN00004798,2025-07-23 11:21:23,UPI,Pune,748.56,Duplicate charge,Won
DSP000168,TXN00041440,2025-07-22 15:55:23,UPI,Surat,2260.11,Goods not received,Under Review
DSP000169,TXN00047464,2025-07-21 22:05:34,Card,Delhi,8822.76,Account takeover,Under Review
DSP000170,TXN00029873,2025-07-23 14:31:30,Card,Kochi,15283.53,Amount mismatch,Withdrawn
DSP000171,TXN00014381,2025-07-24 04:49:13,UPI,Bengaluru,4150.39,Unauthorized,Withdrawn
DSP000172,TXN00031431,2025-07-24 11:45:49,UPI,Indore,1509.65,Amount mismatch,Won
DSP000173,TXN00005519,2025-07-24 10:57:40,Card,Delhi,2722.05,Unauthorized,Won
DSP000174,TXN00046222,2025-07-23 10:27:44,UPI,Kolkata,3469.19,Amount mismatch,Withdrawn
DSP000175,TXN00022530,2025-07-22 19:22:09,UPI,Surat,486.64,Unauthorized,Withdrawn
DSP000176,TXN00013708,2025-07-22 08:43:53,Card,Nagpur,6608.67,Account takeover,Won
DSP000177,TXN00018146,2025-07-22 23:27:26,UPI,Chandigarh,3156.81,Account takeover,Won
DSP000178,TXN00044768,2025-07-22 21:29:38,Card,Kochi,2174.68,Account takeover,Under Review
DSP000179,TXN00001378,2025-07-22 15:52:36,Wallet,Surat,4352.39,Unauthorized,Under Review
DSP000180,TXN00005436,2025-07-23 14:49:26,UPI,Chennai,2017.16,Unauthorized,Open
DSP000181,TXN00005506,2025-07-24 09:06:11,Wallet,Kolkata,1965.16,Unauthorized,Lost
DSP000182,TXN00042806,2025-07-23 11:08:10,Card,Lucknow,3437.31,Unauthorized,Won
DSP000183,TXN00034735,2025-07-22 17:58:24,Card,Chandigarh,13575.42,Account takeover,Open
DSP000184,TXN00005786,2025-07-24 12:20:44,Card,Indore,4593.02,Unauthorized,Won
DSP000185,TXN00027893,2025-07-25 05:48:50,UPI,Indore,1854.38,Account takeover,Lost
DSP000186,TXN00037100,2025-07-24 10:25:35,Card,Bengaluru,2065.58,Amount mismatch,Won
DSP000187,TXN00028585,2025-07-25 04:14:53,UPI,Bengaluru,1522.57,Unauthorized,Under Review
DSP000188,TXN00013493,2025-07-22 19:36:38,Card,Bengaluru,4164.6,Goods not received,Open
DSP000189,TXN00010824,2025-07-23 04:58:04,Wallet,Mumbai,934.43,Account takeover,Open
DSP000190,TXN00018194,2025-07-25 12:49:37,UPI,Indore,537.57,Unauthorized,Won
DSP000191,TXN00029951,2025-07-24 10:10:21,Card,Indore,2202.98,Duplicate charge,Lost
DSP000192,TXN00029421,2025-07-24 15:36:12,Card,Pune,15894.71,Unauthorized,Under Review
DSP000193,TXN00017103,2025-07-22 23:15:31,Wallet,Bengaluru,810.97,Account takeover,Under Review
DSP000194,TXN00045100,2025-07-25 14:18:29,Card,Kolkata,8538.86,Duplicate charge,Open
DSP000195,TXN00002263,2025-07-25 00:21:36,UPI,Surat,221.11,Account takeover,Open
DSP000196,TXN00024812,2025-07-24 23:00:59,UPI,Pune,10076.26,Duplicate charge,Under Review
DSP000197,TXN00034629,2025-07-24 07:02:46,UPI,Chandigarh,1566.11,Goods not received,Withdrawn
DSP000198,TXN00009794,2025-07-25 06:25:12,Wallet,Hyderabad,870.41,Account takeover,Open
DSP000199,TXN00004976,2025-07-24 01:10:24,UPI,Surat,2358.22,Goods not received,Lost
DSP000200,TXN00007530,2025-07-25 01:19:59,UPI,Pune,4529.09,Goods not received,Won
DSP000201,TXN00009524,2025-07-24 12:23:55,UPI,Kochi,5303.48,Unauthorized,Lost
DSP000202,TXN00031133,2025-07-25 16:01:17,Wallet,Jaipur,5833.43,Unauthorized,Open
DSP000203,TXN00017295,2025-07-26 05:13:50,UPI,Surat,2551.96,Unauthorized,Open
DSP000204,TXN00044425,2025-07-25 08:39:25,Wallet,Lucknow,1720.71,Account takeover,Under Review
DSP000205,TXN00034681,2025-07-25 11:28:31,Card,Delhi,3350.77,Duplicate charge,Withdrawn
DSP000206,TXN00022741,2025-07-26 02:36:01,UPI,Delhi,4797.45,Unauthorized,Withdrawn
DSP000207,TXN00024493,2025-07-24 20:52:30,UPI,Kolkata,4462.02,Goods not received,Lost
DSP000208,TXN00015971,2025-07-25 02:01:46,UPI,Hyderabad,4491.24,Amount mismatch,Won
DSP000209,TXN00033723,2025-07-24 17:58:03,UPI,Kolkata,843.43,Amount mismatch,Under Review
DSP000210,TXN00015922,2025-07-23 15:30:38,UPI,Chennai,1658.51,Goods not received,Won
DSP000211,TXN00007332,2025-07-25 02:09:22,UPI,Ahmedabad,2265.75,Unauthorized,Under Review
DSP000212,TXN00004604,2025-07-24 21:39:58,UPI,Ahmedabad,1105.39,Unauthorized,Under Review
DSP000213,TXN00001412,2025-07-26 01:17:37,UPI,Chennai,9651.93,Unauthorized,Under Review
DSP000214,TXN00021123,2025-07-24 03:17:41,UPI,Jaipur,1157.0,Amount mismatch,Withdrawn
DSP000215,TXN00019850,2025-07-25 11:53:17,Card,Surat,6266.89,Account takeover,Open
DSP000216,TXN00044975,2025-07-24 03:13:45,UPI,Pune,1981.2,Goods not received,Under Review
DSP000217,TXN00004550,2025-07-26 20:05:12,UPI,Lucknow,2046.72,Unauthorized,Open
DSP000218,TXN00030421,2025-07-24 08:32:29,UPI,Ahmedabad,10209.82,Duplicate charge,Won
DSP000219,TXN00045988,2025-07-24 19:04:10,UPI,Pune,2343.46,Goods not received,Under Review
DSP000220,TXN00028303,2025-07-24 20:06:15,Card,Jaipur,4429.66,Account takeover,Open
DSP000221,TXN00002565,2025-07-25 12:16:45,UPI,Surat,10568.8,Amount mismatch,Open
DSP000222,TXN00007547,2025-07-25 06:13:47,Card,Chennai,20335.13,Unauthorized,Open
DSP000223,TXN00023039,2025-07-26 12:13:50,Card,Chennai,1797.66,Account takeover,Won
DSP000224,TXN00002191,2025-07-27 05:25:58,UPI,Bengaluru,4414.78,Goods not received,Lost
DSP000225,TXN00047304,2025-07-25 22:17:43,UPI,Indore,1795.84,Amount mismatch,Won
DSP000226,TXN00006879,2025-07-25 06:39:10,Card,Indore,15283.29,Goods not received,Under Review
DSP000227,TXN00044956,2025-07-25 08:46:14,Wallet,Ahmedabad,544.6,Duplicate charge,Open
DSP000228,TXN00012554,2025-07-24 12:01:08,UPI,Kolkata,2329.42,Unauthorized,Lost
DSP000229,TXN00035422,2025-07-25 09:30:58,UPI,Delhi,10985.66,Unauthorized,Open
DSP000230,TXN00019738,2025-07-26 19:39:29,UPI,Indore,3652.66,Unauthorized,Open
DSP000231,TXN00032286,2025-07-25 20:07:57,Card,Mumbai,8622.9,Unauthorized,Open
DSP000232,TXN00038104,2025-07-27 03:21:33,UPI,Jaipur,5036.28,Goods not received,Won
DSP000233,TXN00014346,2025-07-24 20:21:31,UPI,Nagpur,1527.54,Account takeover,Lost
DSP000234,TXN00022260,2025-07-25 06:56:18,Card,Lucknow,27465.68,Goods not received,Won
DSP000235,TXN00022985,2025-07-26 14:37:36,Card,Indore,1617.93,Unauthorized,Won
DSP000236,TXN00016532,2025-07-27 13:23:59,Wallet,Pune,2476.62,Account takeover,Open
DSP000237,TXN00009911,2025-07-26 12:44:41,UPI,Nagpur,3265.21,Account takeover,Under Review
DSP000238,TXN00012567,2025-07-24 19:56:16,UPI,Jaipur,5694.29,Duplicate charge,Withdrawn
DSP000239,TXN00003198,2025-07-25 23:23:20,UPI,Indore,1911.72,Goods not received,Won
DSP000240,TXN00040031,2025-07-25 09:30:02,Card,Chandigarh,1862.36,Duplicate charge,Withdrawn
DSP000241,TXN00006190,2025-07-26 04:11:37,UPI,Kochi,5103.21,Unauthorized,Withdrawn
DSP000242,TXN00033316,2025-07-25 09:48:59,Card,Bengaluru,3151.57,Unauthorized,Lost
DSP000243,TXN00008258,2025-07-25 15:11:17,UPI,Mumbai,3188.43,Goods not received,Won
DSP000244,TXN00036152,2025-07-27 19:29:59,UPI,Lucknow,3416.17,Account takeover,Open
DSP000245,TXN00008067,2025-07-25 05:18:07,UPI,Chennai,2436.5,Unauthorized,Under Review
DSP000246,TXN00039452,2025-07-25 19:39:05,UPI,Nagpur,600.26,Duplicate charge,Open
DSP000247,TXN00000544,2025-07-28 00:52:37,UPI,Pune,1056.89,Duplicate charge,Open
DSP000248,TXN00029031,2025-07-26 05:07:13,UPI,Lucknow,12167.47,Goods not received,Open
DSP000249,TXN00002641,2025-07-26 12:07:50,Card,Indore,9379.78,Goods not received,Open
DSP000250,TXN00014396,2025-07-28 03:09:13,Card,Jaipur,3153.99,Account takeover,Won
DSP000251,TXN00042657,2025-07-27 20:53:56,UPI,Nagpur,1334.56,Account takeover,Under Review
DSP000252,TXN00001187,2025-07-27 14:51:35,Card,Jaipur,62716.73,Unauthorized,Under Review
DSP000253,TXN00033962,2025-07-28 04:01:06,Wallet,Nagpur,2909.1,Goods not received,Open
DSP000254,TXN00045075,2025-07-27 08:33:51,UPI,Surat,5949.0,Unauthorized,Withdrawn
DSP000255,TXN00006668,2025-07-28 12:03:38,Card,Lucknow,14251.79,Duplicate charge,Open
DSP000256,TXN00003999,2025-07-28 21:45:48,UPI,Lucknow,2408.43,Account takeover,Open
DSP000257,TXN00035494,2025-07-27 08:38:09,UPI,Delhi,8128.32,Account takeover,Won
DSP000258,TXN00034128,2025-07-28 20:52:17,Card,Kochi,7592.65,Account takeover,Under Review
DSP000259,TXN00007447,2025-07-26 05:33:13,UPI,Chennai,1716.89,Account takeover,Open
DSP000260,TXN00038215,2025-07-26 07:19:17,Wallet,Chandigarh,3459.77,Account takeover,Under Review
DSP000261,TXN00025137,2025-07-28 14:40:32,UPI,Bengaluru,1149.94,Goods not received,Withdrawn
DSP000262,TXN00047793,2025-07-28 18:05:20,UPI,Mumbai,2986.22,Unauthorized,Under Review
DSP000263,TXN00016688,2025-07-27 18:56:32,UPI,Hyderabad,1728.19,Account takeover,Under Review
DSP000264,TXN00026774,2025-07-27 12:09:20,UPI,Kochi,2048.67,Amount mismatch,Under Review
DSP000265,TXN00027417,2025-07-28 04:37:19,Wallet,Bengaluru,2028.55,Account takeover,Lost
DSP000266,TXN00022171,2025-07-27 02:53:59,Card,Pune,6046.31,Unauthorized,Won
DSP000267,TXN00038039,2025-07-27 17:45:06,UPI,Nagpur,1878.74,Unauthorized,Under Review
DSP000268,TXN00009777,2025-07-28 07:16:51,UPI,Nagpur,1338.27,Unauthorized,Lost
DSP000269,TXN00002089,2025-07-28 16:21:52,UPI,Pune,495.72,Account takeover,Won
DSP000270,TXN00025382,2025-07-27 04:49:41,Card,Chennai,1142.86,Goods not received,Under Review
DSP000271,TXN00022993,2025-07-27 02:25:21,UPI,Pune,486.02,Duplicate charge,Open
